question_id,consensus_status,consensus_option,llm_correct,n_votes,designer_difficulty_str,datamap_region
high10908.txt_q1,consensus,B,1,3,HIGH,ambiguous
high10908.txt_q2,consensus,B,1,3,HIGH,ambiguous
high10908.txt_q3,consensus,C,1,3,HIGH,easy
high10915.txt_q0,consensus,C,1,3,HIGH,hard
high10915.txt_q1,consensus,D,1,3,HIGH,hard
high10915.txt_q2,consensus,A,1,3,HIGH,hard
high10915.txt_q3,consensus,A,1,3,HIGH,hard
high10944.txt_q0,consensus,A,1,3,HIGH,hard
high10944.txt_q1,consensus,D,1,3,HIGH,middle
high10944.txt_q2,consensus,C,1,3,HIGH,middle
high10946.txt_q0,consensus,A,1,3,HIGH,ambiguous
high10946.txt_q1,consensus,A,1,3,HIGH,middle
high10946.txt_q2,consensus,D,1,3,HIGH,middle
high11028.txt_q0,consensus,B,1,3,HIGH,ambiguous
high11028.txt_q1,consensus,C,1,3,HIGH,middle
high11028.txt_q2,consensus,C,1,3,HIGH,hard
high11031.txt_q0,consensus,A,1,3,HIGH,hard
high11031.txt_q1,consensus,B,1,3,HIGH,hard
high11031.txt_q2,consensus,B,0,3,HIGH,hard
high11036.txt_q0,consensus,A,1,3,HIGH,easy
high11062.txt_q0,consensus,B,1,3,HIGH,middle
high11062.txt_q1,consensus,A,1,3,HIGH,middle
high11062.txt_q2,consensus,D,1,3,HIGH,ambiguous
high11062.txt_q3,consensus,A,1,3,HIGH,hard
high11099.txt_q0,consensus,C,1,3,HIGH,ambiguous
high11099.txt_q1,consensus,C,1,3,HIGH,easy
high11103.txt_q0,consensus,A,1,3,HIGH,hard
high11103.txt_q1,consensus,C,1,3,HIGH,ambiguous
high11103.txt_q2,consensus,D,1,3,HIGH,ambiguous
high11103.txt_q3,consensus,A,1,3,HIGH,middle
high11109.txt_q0,consensus,D,1,3,HIGH,middle
high11109.txt_q1,consensus,A,1,3,HIGH,hard
high11109.txt_q2,consensus,C,1,3,HIGH,easy
high1111.txt_q0,consensus,C,0,3,HIGH,hard
high1111.txt_q1,consensus,B,1,3,HIGH,middle
high1111.txt_q2,consensus,D,0,3,HIGH,middle
high1111.txt_q3,consensus,C,0,3,HIGH,hard
high11112.txt_q0,consensus,A,1,3,HIGH,middle
high11112.txt_q1,consensus,D,1,3,HIGH,middle
high11112.txt_q2,consensus,C,1,3,HIGH,easy
high11113.txt_q0,consensus,B,1,3,HIGH,hard
high11113.txt_q1,consensus,A,1,3,HIGH,hard
high11129.txt_q0,consensus,B,1,3,HIGH,easy
high11129.txt_q1,consensus,D,1,3,HIGH,ambiguous
high11129.txt_q2,consensus,B,1,3,HIGH,ambiguous
high11129.txt_q3,consensus,C,1,3,HIGH,easy
high11146.txt_q0,consensus,B,1,3,HIGH,ambiguous
high11146.txt_q1,consensus,D,1,3,HIGH,ambiguous
high11164.txt_q0,consensus,A,1,3,HIGH,ambiguous
high11164.txt_q1,consensus,D,1,3,HIGH,ambiguous
high11164.txt_q2,consensus,A,1,3,HIGH,middle
high11171.txt_q0,consensus,C,1,3,HIGH,middle
high11171.txt_q1,consensus,D,1,3,HIGH,ambiguous
high11252.txt_q0,consensus,B,1,3,HIGH,hard
high11252.txt_q1,consensus,C,1,3,HIGH,easy
high11252.txt_q2,consensus,A,1,3,HIGH,middle
high11252.txt_q3,consensus,A,1,3,HIGH,middle
high11279.txt_q0,consensus,B,1,3,HIGH,easy
high11279.txt_q1,consensus,C,1,3,HIGH,hard
high11327.txt_q0,consensus,D,1,3,HIGH,ambiguous
high11327.txt_q1,consensus,C,0,3,HIGH,hard
high11327.txt_q2,consensus,B,1,3,HIGH,middle
high11327.txt_q3,consensus,C,1,3,HIGH,hard
high11342.txt_q0,consensus,D,1,3,HIGH,middle
high11342.txt_q1,consensus,C,1,3,HIGH,easy
high11342.txt_q2,consensus,B,1,3,HIGH,easy
high11373.txt_q0,consensus,B,1,3,HIGH,easy
high11373.txt_q1,consensus,C,1,3,HIGH,ambiguous
high11373.txt_q2,consensus,B,1,3,HIGH,easy
high11373.txt_q3,consensus,A,1,3,HIGH,ambiguous
high11427.txt_q0,consensus,B,1,3,HIGH,middle
high11427.txt_q1,consensus,C,1,3,HIGH,middle
high11466.txt_q0,consensus,A,1,3,HIGH,easy
high11466.txt_q1,consensus,C,1,3,HIGH,ambiguous
high11466.txt_q2,consensus,C,1,3,HIGH,ambiguous
high1149.txt_q0,consensus,D,1,3,HIGH,middle
high11506.txt_q0,consensus,B,0,3,HIGH,hard
high11506.txt_q1,consensus,C,0,3,HIGH,hard
high11506.txt_q2,consensus,D,0,3,HIGH,hard
high11506.txt_q3,consensus,A,1,3,HIGH,hard
high11509.txt_q0,consensus,C,1,3,HIGH,ambiguous
high11509.txt_q1,consensus,C,1,3,HIGH,middle
high11509.txt_q2,consensus,A,1,3,HIGH,easy
high11515.txt_q0,consensus,B,1,3,HIGH,middle
high11515.txt_q1,consensus,C,1,3,HIGH,middle
high11515.txt_q2,consensus,D,1,3,HIGH,ambiguous
high11515.txt_q3,consensus,A,1,3,HIGH,middle
high11521.txt_q0,consensus,C,1,3,HIGH,middle
high11521.txt_q1,consensus,D,0,3,HIGH,hard
high11521.txt_q2,consensus,B,1,3,HIGH,hard
high11521.txt_q3,consensus,B,1,3,HIGH,middle
high11521.txt_q4,consensus,A,1,3,HIGH,middle
high11532.txt_q0,consensus,D,1,3,HIGH,easy
high11532.txt_q1,consensus,D,1,3,HIGH,ambiguous
high11532.txt_q2,consensus,C,1,3,HIGH,middle
high11552.txt_q0,consensus,D,1,3,HIGH,hard
high11552.txt_q1,consensus,D,1,3,HIGH,hard
high11552.txt_q2,consensus,C,1,3,HIGH,ambiguous
high11552.txt_q3,consensus,A,1,3,HIGH,easy
high11563.txt_q0,consensus,D,1,3,HIGH,easy
high11563.txt_q1,consensus,C,1,3,HIGH,hard
high11582.txt_q0,consensus,D,1,3,HIGH,easy
high11582.txt_q1,consensus,D,1,3,HIGH,ambiguous
high11582.txt_q2,consensus,A,1,3,HIGH,easy
high11582.txt_q3,consensus,C,1,3,HIGH,hard
high11598.txt_q0,consensus,D,1,3,HIGH,ambiguous
high11598.txt_q1,consensus,A,1,3,HIGH,hard
high11598.txt_q2,consensus,D,1,3,HIGH,middle
high11598.txt_q3,consensus,D,1,3,HIGH,hard
high11629.txt_q0,consensus,D,1,3,HIGH,ambiguous
high11629.txt_q1,consensus,C,1,3,HIGH,easy
high11629.txt_q2,consensus,A,1,3,HIGH,ambiguous
high11648.txt_q0,consensus,B,1,3,HIGH,middle
high11648.txt_q1,consensus,C,1,3,HIGH,easy
high11648.txt_q2,consensus,D,1,3,HIGH,ambiguous
high11648.txt_q3,consensus,A,1,3,HIGH,ambiguous
high11654.txt_q0,consensus,D,1,3,HIGH,hard
high11654.txt_q1,consensus,C,1,3,HIGH,ambiguous
high11654.txt_q2,consensus,B,1,3,HIGH,ambiguous
high11654.txt_q3,consensus,B,1,3,HIGH,hard
high11671.txt_q0,consensus,A,1,3,HIGH,hard
high11671.txt_q1,consensus,A,1,3,HIGH,hard
high11688.txt_q0,consensus,B,1,3,HIGH,middle
high11688.txt_q1,consensus,D,1,3,HIGH,middle
high11688.txt_q2,consensus,B,1,3,HIGH,hard
high11688.txt_q3,consensus,C,1,3,HIGH,hard
high11699.txt_q0,consensus,C,1,3,HIGH,easy
high11699.txt_q1,consensus,B,1,3,HIGH,ambiguous
high11699.txt_q2,consensus,D,1,3,HIGH,ambiguous
high11699.txt_q3,consensus,A,1,3,HIGH,ambiguous
high11731.txt_q0,consensus,B,1,3,HIGH,ambiguous
high11731.txt_q1,consensus,A,1,3,HIGH,ambiguous
high11731.txt_q2,consensus,C,1,3,HIGH,easy
high11742.txt_q0,consensus,D,1,3,HIGH,easy
high11742.txt_q1,consensus,A,1,3,HIGH,easy
high11742.txt_q2,consensus,D,1,3,HIGH,middle
high11742.txt_q3,consensus,A,1,3,HIGH,middle
high11774.txt_q0,consensus,D,1,3,HIGH,easy
high11774.txt_q1,consensus,B,0,3,HIGH,hard
high11774.txt_q2,consensus,A,0,3,HIGH,hard
high11797.txt_q0,consensus,A,0,3,HIGH,ambiguous
high11797.txt_q1,consensus,C,1,3,HIGH,hard
high11797.txt_q2,consensus,B,1,3,HIGH,hard
high11797.txt_q3,consensus,A,1,3,HIGH,ambiguous
high11838.txt_q0,consensus,B,1,3,HIGH,ambiguous
high11838.txt_q1,consensus,A,1,3,HIGH,middle
high11838.txt_q2,consensus,D,1,3,HIGH,hard
high11838.txt_q3,consensus,C,1,3,HIGH,middle
high11882.txt_q0,consensus,D,1,3,HIGH,ambiguous
high11882.txt_q1,consensus,B,1,3,HIGH,ambiguous
high11882.txt_q2,consensus,A,1,3,HIGH,middle
high11904.txt_q0,consensus,D,1,3,HIGH,ambiguous
high11904.txt_q1,consensus,B,1,3,HIGH,hard
high11920.txt_q0,consensus,D,1,3,HIGH,hard
high11920.txt_q1,consensus,A,1,3,HIGH,hard
high11920.txt_q2,consensus,D,1,3,HIGH,ambiguous
high11920.txt_q3,consensus,C,1,3,HIGH,easy
high11938.txt_q0,consensus,C,1,3,HIGH,ambiguous
high11938.txt_q1,consensus,B,1,3,HIGH,ambiguous
high11938.txt_q2,consensus,B,1,3,HIGH,ambiguous
high11964.txt_q0,consensus,D,1,3,HIGH,hard
high11964.txt_q1,consensus,B,1,3,HIGH,ambiguous
high11964.txt_q2,consensus,A,1,3,HIGH,hard
high11991.txt_q0,consensus,B,1,3,HIGH,middle
high11991.txt_q1,consensus,A,1,3,HIGH,easy
high11991.txt_q2,consensus,C,1,3,HIGH,ambiguous
high12009.txt_q0,consensus,B,1,3,HIGH,ambiguous
high12009.txt_q1,consensus,D,1,3,HIGH,ambiguous
high12009.txt_q2,consensus,B,1,3,HIGH,middle
high12016.txt_q0,consensus,D,1,3,HIGH,ambiguous
high12016.txt_q1,consensus,C,1,3,HIGH,ambiguous
high12016.txt_q2,consensus,B,1,3,HIGH,middle
high12024.txt_q0,consensus,B,1,3,HIGH,ambiguous
high12024.txt_q1,consensus,C,1,3,HIGH,ambiguous
high12024.txt_q2,consensus,A,1,3,HIGH,ambiguous
high12024.txt_q3,consensus,D,1,3,HIGH,easy
high12034.txt_q0,consensus,C,1,3,HIGH,hard
high12034.txt_q1,consensus,B,1,3,HIGH,hard
high12072.txt_q0,consensus,D,1,3,HIGH,middle
high12072.txt_q1,consensus,B,1,3,HIGH,ambiguous
high12072.txt_q2,consensus,D,1,3,HIGH,easy
high12105.txt_q0,consensus,D,1,3,HIGH,hard
high12105.txt_q1,consensus,C,1,3,HIGH,ambiguous
high12105.txt_q2,consensus,B,1,3,HIGH,middle
high12105.txt_q3,consensus,C,1,3,HIGH,easy
high12109.txt_q0,consensus,D,1,3,HIGH,easy
high12109.txt_q1,consensus,D,1,3,HIGH,middle
high12109.txt_q2,consensus,B,1,3,HIGH,ambiguous
high12110.txt_q0,consensus,A,1,3,HIGH,middle
high12110.txt_q1,consensus,C,1,3,HIGH,easy
high12131.txt_q0,consensus,C,1,3,HIGH,hard
high12131.txt_q1,consensus,A,1,3,HIGH,ambiguous
high12131.txt_q2,consensus,B,1,3,HIGH,ambiguous
high12131.txt_q3,consensus,B,1,3,HIGH,ambiguous
high12132.txt_q0,consensus,C,1,3,HIGH,hard
high12132.txt_q1,consensus,D,1,3,HIGH,hard
high12132.txt_q2,consensus,B,1,3,HIGH,ambiguous
high12132.txt_q3,consensus,A,1,3,HIGH,middle
high12132.txt_q4,consensus,D,1,3,HIGH,ambiguous
high12134.txt_q0,consensus,D,1,3,HIGH,ambiguous
high12134.txt_q1,consensus,D,1,3,HIGH,easy
high12141.txt_q0,consensus,D,1,3,HIGH,middle
high12141.txt_q1,consensus,B,1,3,HIGH,easy
high12142.txt_q0,consensus,A,1,3,HIGH,ambiguous
high12142.txt_q1,consensus,C,1,3,HIGH,middle
high12142.txt_q2,consensus,B,1,3,HIGH,middle
high12221.txt_q0,consensus,A,1,3,HIGH,easy
high12221.txt_q1,consensus,D,0,3,HIGH,hard
high12262.txt_q0,consensus,C,1,3,HIGH,hard
high12262.txt_q1,consensus,D,1,3,HIGH,hard
high12262.txt_q2,consensus,B,1,3,HIGH,ambiguous
high1227.txt_q0,consensus,A,1,3,HIGH,hard
high1227.txt_q1,consensus,C,1,3,HIGH,easy
high1227.txt_q2,consensus,C,1,3,HIGH,hard
high1227.txt_q3,consensus,C,1,3,HIGH,easy
high12282.txt_q0,consensus,C,1,3,HIGH,middle
high12282.txt_q1,consensus,A,1,3,HIGH,easy
high12285.txt_q0,consensus,D,1,3,HIGH,ambiguous
high12285.txt_q1,consensus,B,1,3,HIGH,middle
high12285.txt_q2,consensus,C,1,3,HIGH,middle
high12290.txt_q0,consensus,A,1,3,HIGH,middle
high12290.txt_q1,consensus,B,1,3,HIGH,hard
high12290.txt_q2,consensus,B,1,3,HIGH,ambiguous
high12300.txt_q0,consensus,C,1,3,HIGH,ambiguous
high12309.txt_q0,consensus,C,1,3,HIGH,hard
high12309.txt_q1,consensus,C,1,3,HIGH,middle
high12309.txt_q2,consensus,D,1,3,HIGH,easy
high12317.txt_q0,consensus,B,1,3,HIGH,hard
high12317.txt_q1,consensus,D,1,3,HIGH,ambiguous
high12321.txt_q0,consensus,A,1,3,HIGH,ambiguous
high12321.txt_q1,consensus,C,1,3,HIGH,ambiguous
high12321.txt_q2,consensus,A,1,3,HIGH,middle
high12321.txt_q3,consensus,B,1,3,HIGH,middle
high12331.txt_q0,consensus,A,1,3,HIGH,easy
high12331.txt_q1,consensus,B,1,3,HIGH,ambiguous
high12331.txt_q2,consensus,D,1,3,HIGH,middle
high12331.txt_q3,consensus,D,0,3,HIGH,ambiguous
high12393.txt_q0,consensus,C,1,3,HIGH,middle
high12393.txt_q1,consensus,A,1,3,HIGH,ambiguous
high12393.txt_q2,consensus,D,1,3,HIGH,ambiguous
high12393.txt_q3,consensus,D,1,3,HIGH,hard
high12393.txt_q4,consensus,D,0,3,HIGH,hard
high12398.txt_q0,consensus,D,1,3,HIGH,ambiguous
high12398.txt_q1,consensus,D,1,3,HIGH,ambiguous
high12398.txt_q2,consensus,C,1,3,HIGH,hard
high12398.txt_q3,consensus,C,1,3,HIGH,hard
high12398.txt_q4,consensus,B,1,3,HIGH,middle
high1243.txt_q0,consensus,C,1,3,HIGH,ambiguous
high1243.txt_q1,consensus,A,1,3,HIGH,hard
high1243.txt_q2,consensus,D,1,3,HIGH,middle
high12430.txt_q0,consensus,B,1,3,HIGH,ambiguous
high12430.txt_q1,consensus,A,1,3,HIGH,hard
high12461.txt_q0,consensus,B,1,3,HIGH,ambiguous
high12473.txt_q0,consensus,C,0,3,HIGH,hard
high12473.txt_q1,consensus,B,1,3,HIGH,easy
high12475.txt_q0,consensus,D,1,3,HIGH,easy
high12475.txt_q1,consensus,A,1,3,HIGH,middle
high12475.txt_q2,consensus,B,1,3,HIGH,easy
high12494.txt_q0,consensus,C,1,3,HIGH,easy
high12494.txt_q1,consensus,D,1,3,HIGH,easy
high12494.txt_q2,consensus,A,1,3,HIGH,middle
high12494.txt_q3,consensus,A,1,3,HIGH,easy
high12529.txt_q0,consensus,C,1,3,HIGH,easy
high12529.txt_q1,consensus,B,1,3,HIGH,ambiguous
high12529.txt_q2,consensus,D,1,3,HIGH,middle
high12587.txt_q0,consensus,B,1,3,HIGH,ambiguous
high12587.txt_q1,consensus,C,1,3,HIGH,ambiguous
high12587.txt_q2,consensus,A,1,3,HIGH,easy
high12609.txt_q0,consensus,D,1,3,HIGH,middle
high12609.txt_q1,consensus,B,1,3,HIGH,hard
high12609.txt_q2,consensus,C,1,3,HIGH,ambiguous
high12617.txt_q0,consensus,C,1,3,HIGH,middle
high12617.txt_q1,consensus,A,1,3,HIGH,easy
high12632.txt_q0,consensus,C,1,3,HIGH,easy
high12632.txt_q1,consensus,D,1,3,HIGH,hard
high12632.txt_q2,consensus,C,1,3,HIGH,easy
high12632.txt_q3,consensus,B,1,3,HIGH,hard
high12636.txt_q0,consensus,D,1,3,HIGH,ambiguous
high12636.txt_q1,consensus,D,1,3,HIGH,middle
high12636.txt_q2,consensus,C,1,3,HIGH,ambiguous
high12636.txt_q3,consensus,D,0,3,HIGH,hard
high1266.txt_q0,consensus,D,1,3,HIGH,easy
high1266.txt_q1,consensus,A,1,3,HIGH,hard
high1266.txt_q2,consensus,B,1,3,HIGH,middle
high1266.txt_q3,consensus,C,1,3,HIGH,hard
high1266.txt_q4,consensus,D,1,3,HIGH,ambiguous
high12687.txt_q0,consensus,D,1,3,HIGH,middle
high12687.txt_q1,consensus,C,1,3,HIGH,hard
high12687.txt_q2,consensus,B,1,3,HIGH,ambiguous
high12687.txt_q3,consensus,C,1,3,HIGH,ambiguous
high12700.txt_q0,consensus,B,1,3,HIGH,ambiguous
high12700.txt_q1,consensus,A,1,3,HIGH,middle
high12716.txt_q0,consensus,A,1,3,HIGH,middle
high12716.txt_q1,consensus,C,1,3,HIGH,hard
high12716.txt_q2,consensus,B,1,3,HIGH,ambiguous
high12716.txt_q3,consensus,D,1,3,HIGH,ambiguous
high1272.txt_q0,consensus,C,0,3,HIGH,middle
high1272.txt_q1,consensus,C,1,3,HIGH,ambiguous
high1272.txt_q2,consensus,D,1,3,HIGH,easy
high12723.txt_q0,consensus,A,1,3,HIGH,middle
high12723.txt_q1,consensus,C,1,3,HIGH,ambiguous
high12723.txt_q2,consensus,A,1,3,HIGH,hard
high12723.txt_q3,consensus,B,1,3,HIGH,middle
high12734.txt_q0,consensus,C,1,3,HIGH,ambiguous
high12734.txt_q1,consensus,D,1,3,HIGH,ambiguous
high12734.txt_q2,consensus,A,1,3,HIGH,hard
high12734.txt_q3,consensus,B,1,3,HIGH,easy
high12742.txt_q0,consensus,C,1,3,HIGH,middle
high12742.txt_q1,consensus,D,1,3,HIGH,hard
high12742.txt_q2,consensus,C,1,3,HIGH,ambiguous
high12768.txt_q0,consensus,C,1,3,HIGH,ambiguous
high12768.txt_q1,consensus,A,1,3,HIGH,middle
high12768.txt_q2,consensus,D,1,3,HIGH,easy
high12768.txt_q3,consensus,C,1,3,HIGH,ambiguous
high12768.txt_q4,consensus,B,1,3,HIGH,middle
high12771.txt_q0,consensus,B,1,3,HIGH,middle
high1280.txt_q0,consensus,B,1,3,HIGH,ambiguous
high1280.txt_q1,consensus,B,1,3,HIGH,ambiguous
high1280.txt_q2,consensus,C,1,3,HIGH,ambiguous
high1280.txt_q3,consensus,C,1,3,HIGH,hard
high1280.txt_q4,no_consensus,,0,3,HIGH,hard
high12818.txt_q0,consensus,C,1,3,HIGH,easy
high12818.txt_q1,consensus,D,1,3,HIGH,middle
high12818.txt_q2,consensus,A,1,3,HIGH,ambiguous
high12818.txt_q3,consensus,C,1,3,HIGH,ambiguous
high12824.txt_q0,consensus,C,1,3,HIGH,hard
high12824.txt_q1,consensus,C,1,3,HIGH,easy
high12824.txt_q2,consensus,D,1,3,HIGH,hard
