question_id,content_asset_path,correct_option,n_attempts,n_students,empirical_correctness,eb_difficulty,irt_item_difficulty,irt_quintile
450,data/eedi_public_download/extracted/data/images/450.jpg,4,136,136,0.4632352941176471,0.5339913730468768,0.16505721,3
468,data/eedi_public_download/extracted/data/images/468.jpg,1,1929,1929,0.7242094349403836,0.2768182575399335,-1.0634379,1
516,data/eedi_public_download/extracted/data/images/516.jpg,1,192,192,0.5104166666666666,0.48973382639741947,0.026640028,3
521,data/eedi_public_download/extracted/data/images/521.jpg,3,114,114,0.5350877192982456,0.46699577889397204,-0.2394225,2
527,data/eedi_public_download/extracted/data/images/527.jpg,2,2663,2663,0.7146075854299662,0.2861048491472974,-1.0364577,1
622,data/eedi_public_download/extracted/data/images/622.jpg,3,1914,1914,0.6452455590386625,0.35541342703011525,-0.64648724,2
636,data/eedi_public_download/extracted/data/images/636.jpg,4,1713,1713,0.7472270869819031,0.254052131084449,-1.1600819,1
680,data/eedi_public_download/extracted/data/images/680.jpg,2,11,11,0.36363636363636365,0.5711124379569299,1.3436629,5
682,data/eedi_public_download/extracted/data/images/682.jpg,3,1737,1737,0.6620610247553252,0.33875311431531396,-0.6692401,2
688,data/eedi_public_download/extracted/data/images/688.jpg,3,1727,1727,0.7515923566878981,0.24969961515199945,-1.2705852,1
694,data/eedi_public_download/extracted/data/images/694.jpg,3,85,85,0.32941176470588235,0.65327511822122,0.528648,4
695,data/eedi_public_download/extracted/data/images/695.jpg,1,1649,1649,0.5718617343844754,0.4284965153650878,-0.29000553,2
702,data/eedi_public_download/extracted/data/images/702.jpg,4,166,166,0.3253012048192771,0.6651758694403261,0.86492825,5
731,data/eedi_public_download/extracted/data/images/731.jpg,3,1688,1688,0.7648104265402843,0.23658269229846018,-1.3043845,1
733,data/eedi_public_download/extracted/data/images/733.jpg,3,85,85,0.8470588235294118,0.18606038168105077,-1.8339313,1
745,data/eedi_public_download/extracted/data/images/745.jpg,2,2602,2602,0.398923904688701,0.6006959281286792,0.47236282,4
764,data/eedi_public_download/extracted/data/images/764.jpg,4,2941,2941,0.6521591295477729,0.34829195499388577,-0.6699852,2
766,data/eedi_public_download/extracted/data/images/766.jpg,2,1701,1701,0.4079952968841858,0.5914729142699335,0.5638258,4
770,data/eedi_public_download/extracted/data/images/770.jpg,1,1726,1726,0.5017381228273464,0.4982334355763095,0.07982676,3
776,data/eedi_public_download/extracted/data/images/776.jpg,1,1615,1615,0.491640866873065,0.5082717074544807,0.11385092,3
784,data/eedi_public_download/extracted/data/images/784.jpg,4,456,456,0.18421052631578946,0.8094204693235189,1.9090279,5
893,data/eedi_public_download/extracted/data/images/893.jpg,3,80,80,0.425,0.5665510955454758,0.06253956,3
894,data/eedi_public_download/extracted/data/images/894.jpg,2,861,861,0.7421602787456446,0.2603180143654814,-1.1311358,1
896,data/eedi_public_download/extracted/data/images/896.jpg,3,2319,2319,0.6895213454075032,0.31119749265730223,-0.9319154,1
909,data/eedi_public_download/extracted/data/images/909.jpg,4,81,81,0.5308641975308642,0.47155203278454816,-0.01914829,3
942,data/eedi_public_download/extracted/data/images/942.jpg,3,109,109,0.45871559633027525,0.5375265258067743,0.31264544,4
947,data/eedi_public_download/extracted/data/images/947.jpg,2,619,619,0.617124394184168,0.3844823723989933,-0.45703307,2
