question_id,n_votes,consensus_status,consensus_option,llm_correct
high10449.txt_q3,3,consensus,A,1
high10467.txt_q0,3,consensus,B,1
high10467.txt_q1,3,consensus,B,1
high10467.txt_q2,3,consensus,A,1
high10467.txt_q3,3,consensus,D,1
high10479.txt_q0,3,consensus,C,1
high10479.txt_q1,3,consensus,B,1
high10479.txt_q2,3,consensus,D,1
high10479.txt_q3,3,consensus,D,1
high1048.txt_q0,3,consensus,D,1
high1048.txt_q1,3,consensus,B,1
high1048.txt_q2,3,consensus,B,1
high10490.txt_q0,3,consensus,B,1
high10504.txt_q0,3,consensus,B,1
high10504.txt_q1,3,consensus,C,1
high10504.txt_q2,3,consensus,D,1
high10504.txt_q3,3,consensus,B,1
high10532.txt_q0,3,consensus,C,1
high10532.txt_q1,3,consensus,D,1
high10532.txt_q2,3,consensus,B,0
high10570.txt_q0,3,consensus,C,1
high10570.txt_q1,3,consensus,B,1
high10570.txt_q2,3,consensus,D,1
high10570.txt_q3,3,consensus,D,1
high10570.txt_q4,3,consensus,A,1
high10579.txt_q0,3,consensus,C,1
high10579.txt_q1,3,consensus,B,1
high10579.txt_q2,3,consensus,C,1
high10579.txt_q3,3,consensus,A,1
high10643.txt_q0,3,consensus,C,1
high10643.txt_q1,3,consensus,A,1
high10643.txt_q2,3,consensus,B,1
high10643.txt_q3,3,consensus,C,1
high10666.txt_q0,3,consensus,B,1
high10666.txt_q1,3,consensus,C,1
high10666.txt_q2,3,consensus,D,1
high10668.txt_q0,3,consensus,D,1
high10668.txt_q1,3,consensus,D,1
high10668.txt_q2,3,consensus,B,1
high10677.txt_q0,3,consensus,A,1
high10677.txt_q1,3,consensus,B,1
high10677.txt_q2,3,consensus,C,1
high10677.txt_q3,3,consensus,A,1
high10677.txt_q4,3,consensus,B,1
high10687.txt_q0,3,consensus,C,1
high10687.txt_q1,3,consensus,A,1
high10687.txt_q2,3,consensus,B,1
high10687.txt_q3,3,consensus,B,1
high1069.txt_q0,3,consensus,C,1
high1069.txt_q1,3,consensus,A,1
high1069.txt_q2,3,consensus,B,1
high1069.txt_q3,3,consensus,B,1
high107.txt_q0,3,consensus,C,1
high107.txt_q1,3,consensus,B,1
high107.txt_q2,3,consensus,A,1
high10709.txt_q0,3,consensus,D,1
high10709.txt_q1,3,consensus,D,1
high10709.txt_q2,3,consensus,D,1
high10720.txt_q0,3,consensus,D,1
high10720.txt_q1,3,consensus,B,1
high10720.txt_q2,3,consensus,C,1
high10760.txt_q0,3,consensus,B,1
high10760.txt_q1,3,consensus,D,1
high10760.txt_q2,3,consensus,B,1
high10771.txt_q0,3,consensus,B,1
high10771.txt_q1,3,consensus,C,1
high10771.txt_q2,3,consensus,C,1
high10775.txt_q0,3,consensus,D,1
high10775.txt_q1,3,consensus,A,1
high10775.txt_q2,3,consensus,B,1
high10788.txt_q0,3,consensus,D,1
high10788.txt_q1,3,consensus,B,1
high10788.txt_q2,3,consensus,C,1
high1080.txt_q0,3,consensus,A,1
high1080.txt_q1,3,consensus,D,1
high1080.txt_q2,3,consensus,C,1
high1080.txt_q3,3,consensus,C,1
high1080.txt_q4,3,consensus,D,1
high1083.txt_q0,3,consensus,C,1
high1083.txt_q1,3,consensus,D,1
high1083.txt_q2,3,consensus,B,1
high10897.txt_q0,3,consensus,C,1
high10897.txt_q1,3,consensus,C,1
high10897.txt_q2,3,consensus,B,1
high1090.txt_q0,3,consensus,B,1
high1090.txt_q1,3,consensus,D,1
high1090.txt_q2,3,consensus,C,1
high10902.txt_q0,3,consensus,A,1
high10902.txt_q1,3,consensus,B,1
high10908.txt_q0,3,consensus,A,1
high10908.txt_q1,3,consensus,B,1
high10908.txt_q2,3,consensus,B,1
high10908.txt_q3,3,consensus,C,1
high10915.txt_q0,3,consensus,C,1
high10915.txt_q1,3,consensus,D,1
high10915.txt_q2,3,consensus,A,1
high10915.txt_q3,3,consensus,A,1
high10944.txt_q0,3,consensus,A,1
high10944.txt_q1,3,consensus,D,1
high10944.txt_q2,3,consensus,C,1
high10946.txt_q0,3,consensus,A,1
high10946.txt_q1,3,consensus,A,1
high10946.txt_q2,3,consensus,D,1
high11028.txt_q0,3,consensus,B,1
high11028.txt_q1,3,consensus,C,1
high11028.txt_q2,3,consensus,C,1
high11031.txt_q0,3,consensus,A,1
high11031.txt_q1,3,consensus,B,1
high11031.txt_q2,3,consensus,B,0
high11036.txt_q0,3,consensus,A,1
high11062.txt_q0,3,consensus,B,1
high11062.txt_q1,3,consensus,A,1
high11062.txt_q2,3,consensus,D,1
high11062.txt_q3,3,consensus,A,1
high11099.txt_q0,3,consensus,C,1
high11099.txt_q1,3,consensus,C,1
high11103.txt_q0,3,consensus,A,1
high11103.txt_q1,3,consensus,C,1
high11103.txt_q2,3,consensus,D,1
high11103.txt_q3,3,consensus,A,1
high11109.txt_q0,3,consensus,D,1
high11109.txt_q1,3,consensus,A,1
high11109.txt_q2,3,consensus,C,1
high1111.txt_q0,3,consensus,C,0
high1111.txt_q1,3,consensus,B,1
high1111.txt_q2,3,consensus,D,0
high1111.txt_q3,3,consensus,C,0
high11112.txt_q0,3,consensus,A,1
high11112.txt_q1,3,consensus,D,1
high11112.txt_q2,3,consensus,C,1
high11113.txt_q0,3,consensus,B,1
high11113.txt_q1,3,consensus,A,1
high11129.txt_q0,3,consensus,B,1
high11129.txt_q1,3,consensus,D,1
high11129.txt_q2,3,consensus,B,1
high11129.txt_q3,3,consensus,C,1
high11146.txt_q0,3,consensus,B,1
high11146.txt_q1,3,consensus,D,1
high11164.txt_q0,3,consensus,A,1
high11164.txt_q1,3,consensus,D,1
high11164.txt_q2,3,consensus,A,1
high11171.txt_q0,3,consensus,C,1
high11171.txt_q1,3,consensus,D,1
high11252.txt_q0,3,consensus,B,1
high11252.txt_q1,3,consensus,C,1
high11252.txt_q2,3,consensus,A,1
high11252.txt_q3,3,consensus,A,1
high11279.txt_q0,3,consensus,B,1
high11279.txt_q1,3,consensus,C,1
high11327.txt_q0,3,consensus,D,1
high11327.txt_q1,3,consensus,C,0
high11327.txt_q2,3,consensus,B,1
high11327.txt_q3,3,consensus,C,1
high11342.txt_q0,3,consensus,D,1
high11342.txt_q1,3,consensus,C,1
high11342.txt_q2,3,consensus,B,1
high11373.txt_q0,3,consensus,B,1
high11373.txt_q1,3,consensus,C,1
high11373.txt_q2,3,consensus,B,1
high11373.txt_q3,3,consensus,A,1
high11427.txt_q0,3,consensus,B,1
high11427.txt_q1,3,consensus,C,1
high11466.txt_q0,3,consensus,A,1
high11466.txt_q1,3,consensus,C,1
high11466.txt_q2,3,consensus,C,1
high1149.txt_q0,3,consensus,D,1
high11506.txt_q0,3,consensus,B,0
high11506.txt_q1,3,consensus,C,0
high11506.txt_q2,3,consensus,D,0
high11506.txt_q3,3,consensus,A,1
high11509.txt_q0,3,consensus,C,1
high11509.txt_q1,3,consensus,C,1
high11509.txt_q2,3,consensus,A,1
high11515.txt_q0,3,consensus,B,1
high11515.txt_q1,3,consensus,C,1
high11515.txt_q2,3,consensus,D,1
high11515.txt_q3,3,consensus,A,1
high11521.txt_q0,3,consensus,C,1
high11521.txt_q1,3,consensus,D,0
high11521.txt_q2,3,consensus,B,1
high11521.txt_q3,3,consensus,B,1
high11521.txt_q4,3,consensus,A,1
high11532.txt_q0,3,consensus,D,1
high11532.txt_q1,3,consensus,D,1
high11532.txt_q2,3,consensus,C,1
high11552.txt_q0,3,consensus,D,1
high11552.txt_q1,3,consensus,D,1
high11552.txt_q2,3,consensus,C,1
high11552.txt_q3,3,consensus,A,1
high11563.txt_q0,3,consensus,D,1
high11563.txt_q1,3,consensus,C,1
high11582.txt_q0,3,consensus,D,1
high11582.txt_q1,3,consensus,D,1
high11582.txt_q2,3,consensus,A,1
high11582.txt_q3,3,consensus,C,1
high11598.txt_q0,3,consensus,D,1
high11598.txt_q1,3,consensus,A,1
high11598.txt_q2,3,consensus,D,1
high11598.txt_q3,3,consensus,D,1
high11629.txt_q0,3,consensus,D,1
high11629.txt_q1,3,consensus,C,1
high11629.txt_q2,3,consensus,A,1
high11648.txt_q0,3,consensus,B,1
high11648.txt_q1,3,consensus,C,1
high11648.txt_q2,3,consensus,D,1
high11648.txt_q3,3,consensus,A,1
high11654.txt_q0,3,consensus,D,1
high11654.txt_q1,3,consensus,C,1
high11654.txt_q2,3,consensus,B,1
high11654.txt_q3,3,consensus,B,1
high11671.txt_q0,3,consensus,A,1
high11671.txt_q1,3,consensus,A,1
high11688.txt_q0,3,consensus,B,1
high11688.txt_q1,3,consensus,D,1
high11688.txt_q2,3,consensus,B,1
high11688.txt_q3,3,consensus,C,1
high11699.txt_q0,3,consensus,C,1
high11699.txt_q1,3,consensus,B,1
high11699.txt_q2,3,consensus,D,1
high11699.txt_q3,3,consensus,A,1
high11731.txt_q0,3,consensus,B,1
high11731.txt_q1,3,consensus,A,1
high11731.txt_q2,3,consensus,C,1
high11742.txt_q0,3,consensus,D,1
high11742.txt_q1,3,consensus,A,1
high11742.txt_q2,3,consensus,D,1
high11742.txt_q3,3,consensus,A,1
high11774.txt_q0,3,consensus,D,1
high11774.txt_q1,3,consensus,B,0
high11774.txt_q2,3,consensus,A,0
high11797.txt_q0,3,consensus,A,0
high11797.txt_q1,3,consensus,C,1
high11797.txt_q2,3,consensus,B,1
high11797.txt_q3,3,consensus,A,1
high11838.txt_q0,3,consensus,B,1
high11838.txt_q1,3,consensus,A,1
high11838.txt_q2,3,consensus,D,1
high11838.txt_q3,3,consensus,C,1
high11882.txt_q0,3,consensus,D,1
high11882.txt_q1,3,consensus,B,1
high11882.txt_q2,3,consensus,A,1
high11904.txt_q0,3,consensus,D,1
high11904.txt_q1,3,consensus,B,1
high11920.txt_q0,3,consensus,D,1
high11920.txt_q1,3,consensus,A,1
high11920.txt_q2,3,consensus,D,1
high11920.txt_q3,3,consensus,C,1
high11938.txt_q0,3,consensus,C,1
high11938.txt_q1,3,consensus,B,1
high11938.txt_q2,3,consensus,B,1
high11964.txt_q0,3,consensus,D,1
high11964.txt_q1,3,consensus,B,1
high11964.txt_q2,3,consensus,A,1
high11991.txt_q0,3,consensus,B,1
high11991.txt_q1,3,consensus,A,1
high11991.txt_q2,3,consensus,C,1
high12009.txt_q0,3,consensus,B,1
high12009.txt_q1,3,consensus,D,1
high12009.txt_q2,3,consensus,B,1
high12016.txt_q0,3,consensus,D,1
high12016.txt_q1,3,consensus,C,1
high12016.txt_q2,3,consensus,B,1
high12024.txt_q0,3,consensus,B,1
high12024.txt_q1,3,consensus,C,1
high12024.txt_q2,3,consensus,A,1
high12024.txt_q3,3,consensus,D,1
high12034.txt_q0,3,consensus,C,1
high12034.txt_q1,3,consensus,B,1
high12072.txt_q0,3,consensus,D,1
high12072.txt_q1,3,consensus,B,1
high12072.txt_q2,3,consensus,D,1
high12105.txt_q0,3,consensus,D,1
high12105.txt_q1,3,consensus,C,1
high12105.txt_q2,3,consensus,B,1
high12105.txt_q3,3,consensus,C,1
high12109.txt_q0,3,consensus,D,1
high12109.txt_q1,3,consensus,D,1
high12109.txt_q2,3,consensus,B,1
high12110.txt_q0,3,consensus,A,1
high12110.txt_q1,3,consensus,C,1
high12131.txt_q0,3,consensus,C,1
high12131.txt_q1,3,consensus,A,1
high12131.txt_q2,3,consensus,B,1
high12131.txt_q3,3,consensus,B,1
high12132.txt_q0,3,consensus,C,1
high12132.txt_q1,3,consensus,D,1
high12132.txt_q2,3,consensus,B,1
high12132.txt_q3,3,consensus,A,1
high12132.txt_q4,3,consensus,D,1
high12134.txt_q0,3,consensus,D,1
high12134.txt_q1,3,consensus,D,1
high12141.txt_q0,3,consensus,D,1
high12141.txt_q1,3,consensus,B,1
high12142.txt_q0,3,consensus,A,1
high12142.txt_q1,3,consensus,C,1
high12142.txt_q2,3,consensus,B,1
high12221.txt_q0,3,consensus,A,1
high12221.txt_q1,3,consensus,D,0
high12262.txt_q0,3,consensus,C,1
high12262.txt_q1,3,consensus,D,1
high12262.txt_q2,3,consensus,B,1
high1227.txt_q0,3,consensus,A,1
high1227.txt_q1,3,consensus,C,1
high1227.txt_q2,3,consensus,C,1
high1227.txt_q3,3,consensus,C,1
high12282.txt_q0,3,consensus,C,1
high12282.txt_q1,3,consensus,A,1
high12285.txt_q0,3,consensus,D,1
high12285.txt_q1,3,consensus,B,1
high12285.txt_q2,3,consensus,C,1
high12290.txt_q0,3,consensus,A,1
high12290.txt_q1,3,consensus,B,1
high12290.txt_q2,3,consensus,B,1
high12300.txt_q0,3,consensus,C,1
high12309.txt_q0,3,consensus,C,1
high12309.txt_q1,3,consensus,C,1
high12309.txt_q2,3,consensus,D,1
high12317.txt_q0,3,consensus,B,1
high12317.txt_q1,3,consensus,D,1
high12321.txt_q0,3,consensus,A,1
high12321.txt_q1,3,consensus,C,1
high12321.txt_q2,3,consensus,A,1
high12321.txt_q3,3,consensus,B,1
high12331.txt_q0,3,consensus,A,1
high12331.txt_q1,3,consensus,B,1
high12331.txt_q2,3,consensus,D,1
high12331.txt_q3,3,consensus,D,0
high12393.txt_q0,3,consensus,C,1
high12393.txt_q1,3,consensus,A,1
high12393.txt_q2,3,consensus,D,1
high12393.txt_q3,3,consensus,D,1
high12393.txt_q4,3,consensus,D,0
high12398.txt_q0,3,consensus,D,1
high12398.txt_q1,3,consensus,D,1
high12398.txt_q2,3,consensus,C,1
high12398.txt_q3,3,consensus,C,1
high12398.txt_q4,3,consensus,B,1
high1243.txt_q0,3,consensus,C,1
high1243.txt_q1,3,consensus,A,1
high1243.txt_q2,3,consensus,D,1
high12430.txt_q0,3,consensus,B,1
high12430.txt_q1,3,consensus,A,1
high12461.txt_q0,3,consensus,B,1
high12473.txt_q0,3,consensus,C,0
high12473.txt_q1,3,consensus,B,1
high12475.txt_q0,3,consensus,D,1
high12475.txt_q1,3,consensus,A,1
high12475.txt_q2,3,consensus,B,1
high12494.txt_q0,3,consensus,C,1
high12494.txt_q1,3,consensus,D,1
high12494.txt_q2,3,consensus,A,1
high12494.txt_q3,3,consensus,A,1
high12529.txt_q0,3,consensus,C,1
high12529.txt_q1,3,consensus,B,1
high12529.txt_q2,3,consensus,D,1
high12587.txt_q0,3,consensus,B,1
high12587.txt_q1,3,consensus,C,1
high12587.txt_q2,3,consensus,A,1
high12609.txt_q0,3,consensus,D,1
high12609.txt_q1,3,consensus,B,1
high12609.txt_q2,3,consensus,C,1
high12617.txt_q0,3,consensus,C,1
high12617.txt_q1,3,consensus,A,1
high12632.txt_q0,3,consensus,C,1
high12632.txt_q1,3,consensus,D,1
high12632.txt_q2,3,consensus,C,1
high12632.txt_q3,3,consensus,B,1
high12636.txt_q0,3,consensus,D,1
high12636.txt_q1,3,consensus,D,1
high12636.txt_q2,3,consensus,C,1
high12636.txt_q3,3,consensus,D,0
high1266.txt_q0,3,consensus,D,1
high1266.txt_q1,3,consensus,A,1
high1266.txt_q2,3,consensus,B,1
high1266.txt_q3,3,consensus,C,1
high1266.txt_q4,3,consensus,D,1
high12687.txt_q0,3,consensus,D,1
high12687.txt_q1,3,consensus,C,1
high12687.txt_q2,3,consensus,B,1
high12687.txt_q3,3,consensus,C,1
high12700.txt_q0,3,consensus,B,1
high12700.txt_q1,3,consensus,A,1
high12716.txt_q0,3,consensus,A,1
high12716.txt_q1,3,consensus,C,1
high12716.txt_q2,3,consensus,B,1
high12716.txt_q3,3,consensus,D,1
high1272.txt_q0,3,consensus,C,0
high1272.txt_q1,3,consensus,C,1
high1272.txt_q2,3,consensus,D,1
high12723.txt_q0,3,consensus,A,1
high12723.txt_q1,3,consensus,C,1
high12723.txt_q2,3,consensus,A,1
high12723.txt_q3,3,consensus,B,1
high12734.txt_q0,3,consensus,C,1
high12734.txt_q1,3,consensus,D,1
high12734.txt_q2,3,consensus,A,1
high12734.txt_q3,3,consensus,B,1
high12742.txt_q0,3,consensus,C,1
high12742.txt_q1,3,consensus,D,1
high12742.txt_q2,3,consensus,C,1
high12768.txt_q0,3,consensus,C,1
high12768.txt_q1,3,consensus,A,1
high12768.txt_q2,3,consensus,D,1
high12768.txt_q3,3,consensus,C,1
high12768.txt_q4,3,consensus,B,1
high12771.txt_q0,3,consensus,B,1
high1280.txt_q0,3,consensus,B,1
high1280.txt_q1,3,consensus,B,1
high1280.txt_q2,3,consensus,C,1
high1280.txt_q3,3,consensus,C,1
high1280.txt_q4,3,no_consensus,,0
high12818.txt_q0,3,consensus,C,1
high12818.txt_q1,3,consensus,D,1
high12818.txt_q2,3,consensus,A,1
high12818.txt_q3,3,consensus,C,1
high12824.txt_q0,3,consensus,C,1
high12824.txt_q1,3,consensus,C,1
high12824.txt_q2,3,consensus,D,1
high12824.txt_q3,3,consensus,C,1
high1283.txt_q0,3,consensus,C,1
high1283.txt_q1,3,consensus,D,1
high1283.txt_q2,3,consensus,B,1
high1283.txt_q3,3,consensus,C,1
high12832.txt_q0,3,consensus,C,1
high12832.txt_q1,3,consensus,A,1
high12832.txt_q2,3,consensus,B,1
high12897.txt_q0,3,consensus,B,1
high12897.txt_q1,3,consensus,D,1
high12897.txt_q2,3,consensus,C,1
high12906.txt_q0,3,consensus,B,1
high12906.txt_q1,3,consensus,C,1
high12941.txt_q0,3,consensus,B,1
high12941.txt_q1,3,consensus,A,1
high12941.txt_q2,3,consensus,B,1
high12941.txt_q3,3,consensus,C,1
high1296.txt_q0,3,consensus,B,1
high1296.txt_q1,3,consensus,C,1
high12998.txt_q0,3,consensus,B,1
high12998.txt_q1,3,consensus,D,1
high13043.txt_q0,3,consensus,C,1
high13043.txt_q1,3,consensus,C,1
high13043.txt_q2,3,consensus,D,1
high13043.txt_q3,3,consensus,B,1
high13095.txt_q0,3,consensus,C,1
high13095.txt_q1,3,consensus,D,1
high13095.txt_q2,3,consensus,B,1
high1310.txt_q0,3,consensus,D,1
high1310.txt_q1,3,consensus,D,1
high1310.txt_q2,3,consensus,C,1
high13140.txt_q0,3,consensus,D,1
high13140.txt_q1,3,consensus,C,1
high13140.txt_q2,3,consensus,D,1
high13140.txt_q3,3,consensus,C,1
high13143.txt_q0,3,consensus,D,1
high13143.txt_q1,3,consensus,A,1
high13143.txt_q2,3,consensus,B,1
high13165.txt_q0,3,consensus,D,1
high13165.txt_q1,3,consensus,D,0
high13165.txt_q2,3,consensus,A,1
high13165.txt_q3,3,consensus,A,1
high13171.txt_q0,3,consensus,D,1
high13171.txt_q1,3,consensus,A,1
high13171.txt_q2,3,consensus,C,1
high13171.txt_q3,3,consensus,B,1
high13199.txt_q0,3,consensus,D,1
high13199.txt_q1,3,consensus,C,1
high13199.txt_q2,3,consensus,D,1
high13199.txt_q3,3,consensus,A,1
high13208.txt_q0,3,consensus,D,1
high13208.txt_q1,3,consensus,A,1
high13208.txt_q2,3,consensus,D,1
high13220.txt_q0,3,consensus,B,1
high13220.txt_q1,3,consensus,B,1
high13238.txt_q0,3,consensus,B,1
high13238.txt_q1,3,consensus,B,1
high13238.txt_q2,3,consensus,D,1
high13238.txt_q3,3,consensus,A,1
high13250.txt_q0,3,consensus,D,1
high13250.txt_q1,3,consensus,B,1
high13250.txt_q2,3,consensus,A,1
high13251.txt_q0,3,consensus,C,1
high13251.txt_q1,3,consensus,D,1
high13251.txt_q2,3,consensus,A,1
high13273.txt_q0,3,consensus,B,1
high13273.txt_q1,3,consensus,D,1
high13273.txt_q2,3,consensus,A,1
high13279.txt_q0,3,consensus,B,1
high13279.txt_q1,3,consensus,D,1
high13279.txt_q2,3,consensus,C,1
high13279.txt_q3,3,consensus,A,1
high13284.txt_q0,3,consensus,D,1
high13284.txt_q1,3,consensus,C,1
high13314.txt_q0,3,consensus,B,1
high13314.txt_q1,3,consensus,C,1
high13314.txt_q2,3,consensus,C,1
high13319.txt_q0,3,consensus,A,1
high13319.txt_q1,3,consensus,B,1
high13342.txt_q0,3,consensus,C,1
high13342.txt_q1,3,consensus,B,1
high13342.txt_q2,3,consensus,D,1
high1335.txt_q0,3,consensus,D,1
high1335.txt_q1,3,consensus,C,1
high1335.txt_q2,3,consensus,A,1
high13366.txt_q0,3,consensus,A,1
high13366.txt_q1,3,consensus,D,1
high13366.txt_q2,3,consensus,C,1
high13366.txt_q3,3,consensus,B,1
high13366.txt_q4,3,consensus,B,1
high13393.txt_q0,3,consensus,B,1
high13393.txt_q1,3,consensus,D,1
high13393.txt_q2,3,consensus,C,1
high13393.txt_q3,3,consensus,A,1
high13393.txt_q4,3,consensus,C,1
high13398.txt_q0,3,consensus,C,1
high13398.txt_q1,3,consensus,B,0
high13398.txt_q2,3,consensus,A,1
high13398.txt_q3,3,consensus,B,1
high13424.txt_q0,3,consensus,C,1
high13424.txt_q1,3,consensus,D,1
high13434.txt_q0,3,consensus,D,1
high13434.txt_q1,3,consensus,A,1
high13458.txt_q0,3,consensus,C,1
high13458.txt_q1,3,consensus,D,1
high13458.txt_q2,3,consensus,B,1
high13470.txt_q0,3,consensus,B,1
high13470.txt_q1,3,consensus,B,1
high1350.txt_q0,3,consensus,A,1
high1350.txt_q1,3,consensus,D,1
high1350.txt_q2,3,consensus,B,1
high1350.txt_q3,3,consensus,B,1
high13545.txt_q0,3,consensus,D,1
high13545.txt_q1,3,consensus,A,1
high13577.txt_q0,3,consensus,B,1
high13577.txt_q1,3,consensus,A,1
high13577.txt_q2,3,consensus,A,1
high13577.txt_q3,3,consensus,D,1
high13588.txt_q0,3,consensus,C,1
high13588.txt_q1,3,consensus,C,1
high13588.txt_q2,3,consensus,D,1
high13597.txt_q0,3,consensus,C,1
high13597.txt_q1,3,consensus,B,1
high13597.txt_q2,3,consensus,A,1
high13618.txt_q0,3,consensus,A,1
high13618.txt_q1,3,consensus,B,1
high13618.txt_q2,3,consensus,C,1
high13618.txt_q3,3,consensus,D,1
high13618.txt_q4,3,consensus,C,1
high13683.txt_q0,3,consensus,C,1
high13683.txt_q1,3,consensus,D,1
high13702.txt_q0,3,consensus,D,1
high13702.txt_q1,3,consensus,D,1
high13702.txt_q2,3,consensus,A,1
high13704.txt_q0,3,consensus,B,1
high13704.txt_q1,3,consensus,D,1
high13704.txt_q2,3,consensus,A,1
high13716.txt_q0,3,consensus,C,1
high13716.txt_q1,3,consensus,A,1
high13716.txt_q2,3,consensus,D,1
high13716.txt_q3,3,consensus,B,1
high13761.txt_q0,3,consensus,D,1
high13761.txt_q1,3,consensus,B,1
high13781.txt_q0,3,consensus,B,1
high13781.txt_q1,3,consensus,D,1
high13781.txt_q2,3,consensus,C,1
high13814.txt_q0,3,consensus,B,0
high13814.txt_q1,3,consensus,C,1
high13814.txt_q2,3,consensus,D,1
high13838.txt_q0,3,consensus,A,1
high13838.txt_q1,3,consensus,C,1
high13838.txt_q2,3,consensus,D,1
high13894.txt_q0,3,consensus,B,1
high13894.txt_q1,3,consensus,C,1
high13894.txt_q2,3,consensus,D,1
high13909.txt_q0,3,consensus,B,1
high13909.txt_q1,3,consensus,D,1
high13909.txt_q2,3,consensus,A,1
high1391.txt_q0,3,consensus,A,1
high1391.txt_q1,3,consensus,C,1
high1391.txt_q2,3,consensus,D,1
high1391.txt_q3,3,consensus,D,1
high1399.txt_q0,3,consensus,B,1
high1399.txt_q1,3,consensus,C,1
high1399.txt_q2,3,consensus,C,1
high14001.txt_q0,3,consensus,B,1
high14001.txt_q1,3,consensus,B,0
high14001.txt_q2,3,consensus,D,1
high14004.txt_q0,3,consensus,C,1
high14004.txt_q1,3,consensus,A,1
high14004.txt_q2,3,consensus,D,1
high14070.txt_q0,3,consensus,C,1
high14073.txt_q0,3,consensus,D,1
high14073.txt_q1,3,consensus,B,1
high14073.txt_q2,3,consensus,C,1
high14073.txt_q3,3,consensus,D,1
high14085.txt_q0,3,consensus,D,1
high14085.txt_q1,3,consensus,B,1
high1410.txt_q0,3,consensus,C,1
high1410.txt_q1,3,consensus,C,1
high1410.txt_q2,3,consensus,B,1
high1410.txt_q3,3,consensus,D,1
high1411.txt_q0,3,consensus,B,1
high1411.txt_q1,3,consensus,D,1
high1411.txt_q2,3,consensus,A,1
high14136.txt_q0,3,consensus,C,1
high14136.txt_q1,3,consensus,D,1
high14136.txt_q2,3,consensus,A,1
high14136.txt_q3,3,consensus,B,1
high14144.txt_q0,3,consensus,D,1
high14144.txt_q1,3,consensus,C,1
high14144.txt_q2,3,consensus,B,1
high14144.txt_q3,3,consensus,D,1
high14165.txt_q0,3,consensus,D,1
high14165.txt_q1,3,consensus,A,1
high14165.txt_q2,3,consensus,C,0
high14197.txt_q0,3,consensus,D,1
high14197.txt_q1,3,consensus,C,1
high14197.txt_q2,3,consensus,B,1
high14235.txt_q0,3,consensus,B,1
high14235.txt_q1,3,consensus,C,1
high14235.txt_q2,3,consensus,B,1
high14235.txt_q3,3,consensus,B,1
high14272.txt_q0,3,consensus,B,1
high14272.txt_q1,3,consensus,D,1
high14272.txt_q2,3,consensus,B,1
high14340.txt_q0,3,consensus,C,1
high14340.txt_q1,3,consensus,B,1
high14340.txt_q2,3,consensus,D,1
high14350.txt_q0,3,consensus,C,1
high14350.txt_q1,3,consensus,B,1
high14350.txt_q2,3,consensus,D,1
high14350.txt_q3,3,consensus,C,1
high14366.txt_q0,3,consensus,C,1
high14366.txt_q1,3,consensus,D,1
high14369.txt_q0,3,consensus,B,1
