blind_item_id,passage,question,option_A,option_B,option_C,option_D,rater_answer,answer_confidence,evidence_demand,cannot_judge,optional_stage1_note,official_answer_key,key_problem,stem_problem,distractor_problem,evidence_problem,optional_stage2_note
A011,"Egypt: Bridging the Gap between School English and Real English
Teaching English in Egypt in general and in my town Damietta in particular, is mainly directed towards helping students to pass their final exams. Unfortunately, most teachers do not adopt a long -term approach that guarantees that their students will be able to use English outside the classroom. So students only concentrate on one skill which is writing. Thus their listening and speaking skills are disabled. What is important to them is to pass the exam which is primarily based on writing .Teachers are not only concentrated with providing their students with questions that are similar to those of the final exam, particularly General Secondary Education Certificate (GSEC) Examination, so students spend most of their time answering typical exam questions.
Most students' scores are high; a lot of students get full marks. However, few students are able to communicate in English because their role plays. As a result, a lot of students complain that they are unable to understand and talk fluently with native speakers of English.
To enable students to communicate freely and spontaneously  in English, I bring features of real communication into language practice, I always ask students about their own experiences, and suggest groups of students practice what they have learned outside the classroom. This helps lower-achieving students absorb language. Furthermore, role play is a very effective way to improve speaking skills particularly if it is connected to the experience of the students.","In Egypt, the students only concentrate on ------",listening skill,speaking skill,reading skill,writing skill,D,4,2,0,,D,0,0,0,0,
A012,"Are you the type of person who easily gets less confident by negative  advice? Follow this short lesson about self confidence.
Henry Ward Beecher was a well-known American churchman, social reformer  and speaker in the middle of the 19th century. When he was a young boy in school, he learned a lesson which he never forgot.
Once he was called up to recite  in front of the class. When he recited only a few lines, the teacher interrupted with a forceful ""No!"" He started over and again the teacher shouted, ""No!"" Ashamed, Henry sat down.
The next boy rose to recite and had just begun when the teacher shouted, ""No!"" This student, however, kept on reciting until he completed it. As he sat down, the teacher replied, ""Very good!""
Henry was angry. ""I recited just as he did,"" he complained to the teacher.
But the teacher replied, ""It is not enough to know your lesson, you must be sure. When you allowed me to stop you, it meant that you were uncertain, if the world says, No! it is your business to say Yes! and prove it.""
The world will say, ""No!"" in a thousand ways.
""No! You can't do that.""
""No! You are wrong.""
""No! You are too young.""
""No! You don't have the education.""
""No! You don't have the ability.""
""No! You don't have the money.""
""No! You can't work it out.""
And each ""No!"" you hear has the possibility to weaken your confidence bit by bit until you give up all together.
When the world says, ""No!"" to you, you should be strong-minded to say, ""Yes!"" and prove it.",What did the teacher think of Henry?,He was not so clever as the next boy.,He didn't recite so fast as the next boy.,He didn't recite so loudly as the next boy.,He was not so sure as the next boy when reciting.,D,4,2,0,,D,0,0,1,0,"A distractor here can be tossed just from the sentence structure, not the content."
A013,"Jobs and work do much more than most of us realize to provide happiness and contentment.We're all used to thinking that work provides the material things of life--the goods and services that make our modern civilization possible.But we are much less conscious of the degree to which work provides the more important psychological wellbeing that can make the difference between a full and an empty life.
Historically,work has been associated with slavery and sin  and punishment.And in our own day we are used to bearing traditional complaints.Against this background,it may well come as a surprise to learn that not only psychologists but other behavioral scientists have come to accept the positive contribution of work to the individual's happiness and sense of personal achievement.Work is more than a necessity for most human beings;it is the focus of their lives,the source of their identity and creativity.
Rather than a punishment of a burden,work is the opportunity to realize one's potential.And the opposite is true,too.For large numbers of people,the absence of work is harmful to their health.Retirement often brings many problems surrounding the ""What do I do with myself?""question,even though there may be no financial cares.Large numbers of people regularly get headaches and other illnesses on weekends when they don't have their jobs to go to,and must take care of themselves.It has been observed that unemployment,quite apart from financial pressures,brings enormous psychological troubles and that many individuals'conditions become worse rapidly when jobless.
But why?Why should work be such a significant source of human satisfaction?A good share of the answer rests in the kind of pride that is stimulated by the job,by the activity of accomplishing.",Which best describes the author's attitude towards work in the passage?,Doubtful.,Concerned.,Approving.,Neutral.,C,3,2,0,,C,0,0,0,1,Feels like the reader has to bring in something not stated to land on the key.
A014,"Now scientists have discovered the first evidence that the animals actually behave like their masters. Just like children, they adopt a ""look and learn"" approach which means they can mimic   human's actions when going about their tasks.
Biologists and psychologists at the universities of Vienna and Oxford designed an experiment to test the theory that dogs do have the ability to copy what they see, using a simple wooden box. In the study, ten owners showed their dogs how to open the wooden box, sometimes using their heads to push a handle and sometimes using their hands.
In the first part of the test, five dogs were rewarded with a piece of sausage for copying their owners' actions. The other five were rewarded with food for not copying, and using other methods. With each dog the experiment was repeated hundreds of times, and the time taken for a dog to get it ""right"" on 85 percent of attempts (17 goes out of 20) was recorded. The dogs encouraged to mirror their owners reached this point almost three times sooner on average than those rewarded for not copying them. In the second part of the test, all the dogs were only rewarded for copying the method their owners used. The five dogs previously rewarded for copying their owners reached the 85 percent mark more than twice as the other five.
In a paper published in Proceeding of the Royal Society, _ concluded, ""Like humans, dogs can't help imitating actions they see."" Going further, they said, ""The results suggest the imitative   behavior of dogs is shaped more by their developmental interactions with humans than by their evolutionary   history of domestication  .""
Caroline Kisko, from the Kennel club, said, ""A dog's behavior is influenced much like that of a child learning right from wrong and adopting similar patterns of behavior. We hope that owners understand the importance of their actions and use this knowledge to set good examples and therefore positively influence the behavior of their pets.""",What's the best title of the passage?,Dogs Are Intelligent Animals,Dogs Are like Children Most,Dogs Behave like Their Masters,Dogs Can Complete Simple Tasks,C,4,1,0,,C,0,0,0,0,
A015,"In a school some trouble was caused by the students. They are very naughty and didn't obey the school rules.They often fought with each other and they didn't forgive each other. One day a new teacher came to this school. When he heard that, he came up with a good idea.
He told each of his students to bring a clear plastic bag and a bag of potatoes to school. For every person they didn't want to forgive in their lives, they chose a potato, wrote the person's name on it, and put it in the plastic bag.
Some of their bags were very heavy. They were then told to carry this bag with them everywhere for one week. They would put it beside their bed at night, on the seat when sitting in a car or on a bus, and next to their desk at school. Days of carrying the bags around with them made students get to know what a weight they were carrying in their minds. And they had to pay attention to it all the time so they didn't forget it or leave it in embarrassing   places. As time passed by, the potatoes went bad and smelt nasty.
Too often we think of _ as a gift to other people, and it clearly is for ourselves! If we choose to keep our sadness and hatred   in our hearts, we will have to carry them around all our lives. After that, the students got on well with each other and didn't fight anymore. Learn to forgive , and you will be happier at the same time.",Which of following is NOT true?,Tolerance is a gift for other people and ourselves.,Carrying a bag of potatoes made the students embarrassed.,The students had to take bags of potatoes with them everywhere.,The students had to take bags of potatoes with them for about two weeks.,D,3,1,0,,D,0,1,0,0,Stem could point to two different things depending on how you parse it.
A016,"Swiss national Louis Palmer fulfilled a childhood dream when he set off from his mother country on July 3, travelling over deserts, cities and seas in 17 countries in a solar taxi to reach UN Climate Change Conference in Bali, Indonesia.
""In 1986, 1 was a 14-year-old boy. I was dreaming that when I will be an adult. I want to drive around the world, "" he told reporters.
""Then it came to my mind, how can I travel around the world and enjoy the beauty of this world with a car that is polluting the world? Then I thought the perfect car would be a solar car. ""
His car, which has become a major attraction at the gates of the summit of some 188 nations, was built in three years with scientific help from four universities and 15 Swiss companies. The car pulls a trailer with six square meters of solar panels which absorb the sun. The electricity is fed into the battery which powers the car, and can run for up to 100 kilometers a day.
""It's the first time in history that a car is driving around the world without a single drop of petrol, "" said Palmer.
His epic solar journey is not his first adventure--he crossed Africa on a bicycle and North America in a light aircraft.
So far, Palmer has gone by land through Europe and the Middle East, then by sea to India and on to Indonesia. After covering much of Asia, Australia, North America and Africa, he will return to Switzerland to try and drum up support for the commercial possibilities of solar cars.
For the moment, he _ , with more curious customers waiting to take a ride in his unique automobile which, he said, ""works like a Swiss clock. ""","Why did Louis Palmer take so long a journey in a ""solar taxi""?",To attend the conference.,To advertise the solar car.,To realize his dream.,To turn to the summit for help.,C,4,3,0,,C,0,0,0,0,
A017,"The man sitting opposite Robert was the Financial Controller. Everybody called him ""the FC"" for short. He made all the decisions about money. Robert needed some more. That was why he had to see him. The two men did not get on very well. In fact, they had always disliked each other.
""Your request is out of the question,"" the FC said. Robert had difficulty in controlling himself, but he managed somehow. He explained that he wanted the money in order to make more programmes.
""And why do you want to do that?"" the FC asked sharply. Again, Robert almost lost his temper. ""Because more and more people are listening to my department's programmes. There's great demand for them,"" he answered.
The FC did not seem to believe him. But Robert had a report on the numbers of listeners to all EBC programmes. The FC became less confident. Robert threw the report down on the table and told him to read it.
The FC looked at it in silence. The figures   proved that he had been wrong, but he did not want to admit it. ""Well,"" he finally said, ""I may have made a small mistake."" Robert noticed the word ""may."" He got up to leave. But he had the feeling that he would get the money after all.","""Your request is out of the question.""Here ""out of the question""means",without any question,with some question,impossible,possible,C,3,1,0,,C,1,0,0,0,Passage supports B about as well as the key; I'd call this a toss-up.
A018,"It is December 25th, 2050. The people in the city are all celebrating Christmas. I'm the mayor of our city. My citizens and I are holding a big party under the sea, though you wouldn't believe it. But please do not feel excited, you should feel sad because we have to live under the sea. Because of the pollution, the earth has been completely destroyed, from top to bottom. The atmosphere has no oxygen and moisture. As a result, the plants are burned by the strong sunlight with a great number of harmful rays. Of course, none of them are still alive. Not only no green, but also the temperature reaches about 121degC all day even in winter because there is too much CO2 circling the earth.
On the land, there is no life. Luckily, the sea is not destroyed by human. So, we have to move into the sea. At the bottom of the water, people have built many new cities. There is a lot of advanced(,) equipment in each city. Computers are used to control all the machines, even the people's life. We can also make the seawater into fresh water. There are two machines making oxygen. If they stop working for only one minute, more than 10 million people will die.
The population of our city is over 30 million and, of course, it is quite crowded. We have lots of high buildings and bridges. The roads are wide, too. Our cars are small UFOs, don't be surprised, it is true. At the bottom of the sea you can't see anything, because there is no light all day. However, we have advanced lighting equipment so that we can see the ""sun"" under the sea. Of course, the advanced lighting equipment is very expensive. And if it doesn't work, we can see nothing under the sea. What should we do then?",. The best title for this passage might be   _   .,A Christmas In The Future,A City Under The Sea,The Underwater Life,The Future Life Under The Sea,D,4,3,0,,D,0,0,1,1,One distractor is basically restating another option.
A019,"The centerpiece of curling is the curling stone. Kays of Scotland has been making curling stones since 1851, when William Kay and his sons Andrew and Thomas set up a workshop in Mauchline, Ayrshire, in southwest Scotland. Kays is still owned by the relatives of the founder, and today it is the only curling stone maker left in Scotland.
Used in a highly competitive sport, the curling stones are made to exact standards. First, stones are _ and then into round ""cheeses"". Finally, the cheeses are shaped and polished into curling stones in a series of steps.
Each stone must weigh 44 pounds. Each must have a maximum diameter   of 36 inches. Polishing is done by hand on a wheel using water, diamond-talcum power, and felt. Finishing the stone's ""running edge"" is done entirely by hand with a special kind of paper and a digital measure and magnifying glass  . Lastly, a handle  is fitted into holes on the top of the stone. Stones are computer-matched into pairs. Sixteen stones----8 pairs----are needed for a game, and since curling game field usually have 6 lanes, each game field needs 96 matched stones!
Kays is a small company, employing less than ten skilled workers. Master craftsman and co-owner James Wyllie is skilled at all phases of curling stone making and is also an enthusiastic curler, as well as active member of Mauchline's Burns Club, which meets regularly to honor well-known Mauchline residents.",What is true about Kays?,It is a family business.,It's a brand  of curling stones.,It's a place in Scotland.,It's the name of a curling stone dealer .,A,2,4,0,,A,0,0,0,1,Feels like the reader has to bring in something not stated to land on the key.
A020,"Hot words on the Internet don't stay hot for long. ""Geili"" and ""fuyun"", last year's biggest linguistic innovations, are practically prehistoric in Internet terms. What's buzzing now is ""hold steady""
The term comes from a segment   on the Taiwanese TV show
which features Miss Lin(Xie Yilin) giving a lecture on how to behave like a fashion queen at parties or on the bus. The extremely funny lecture is mainly an over-the-top mockery  of the fashion world, but Miss Lin makes a point: We need to hold steady in pressure-filled or embarrassing situations.
Holding steady, Internet slang for ""staying poised"", is one of the qualities the public has been looking for lately as pressures on marriage, work and money can easily drive people crazy. The quality was demonstrated by a girl named Su Miaoling this year. The contestant in the TV singing competition
carried herself with an air of confidence on stage and kept her cool when others got anxious. ""I like your poise . Very few contestants on this stage can keep calm like you do,"" said one of the show's judges, Hu Haiquan, to Su. Internet users dubbed Su ""Sister Poise"".
Poise is also appreciated in Western culture as an essential quality of a well-mannered person. Each year, the National League of Junior Cotillions of the US releases a list of the Ten Best Mannered People. Kate Middleton made it onto the list in 2011 ""for the poise and dignity with which she conducts herself in the public spotlight"". The Duchess of Cambridge was also acclaimed earlier this year for her remarkable poise at the royal wedding.
Good news for many, poise is not genetic----it can be acquired with a bit of effort. A personal growth guidance gives tips on how to stay poised. ""Take a few deep breaths when you are facing a situation that tests your patience; practice yoga regularly to calm your nerves; use self-affirmation by saying 'I choose to be calm in any situation'; write down your affirmation daily to imprint the goal,"" reads the site.",Which of the following is NOT the way to hold steady?,learn to use self-encouragement.,Write the goals to be achieved,Practice yoga regularly to calm your nerves.,Take deep breaths when facing difficult situations.,B,2,1,0,,B,0,1,0,0,Not fully clear which detail the question wants.
A021,"Egypt: Bridging the Gap between School English and Real English
Teaching English in Egypt in general and in my town Damietta in particular, is mainly directed towards helping students to pass their final exams. Unfortunately, most teachers do not adopt a long -term approach that guarantees that their students will be able to use English outside the classroom. So students only concentrate on one skill which is writing. Thus their listening and speaking skills are disabled. What is important to them is to pass the exam which is primarily based on writing .Teachers are not only concentrated with providing their students with questions that are similar to those of the final exam, particularly General Secondary Education Certificate (GSEC) Examination, so students spend most of their time answering typical exam questions.
Most students' scores are high; a lot of students get full marks. However, few students are able to communicate in English because their role plays. As a result, a lot of students complain that they are unable to understand and talk fluently with native speakers of English.
To enable students to communicate freely and spontaneously  in English, I bring features of real communication into language practice, I always ask students about their own experiences, and suggest groups of students practice what they have learned outside the classroom. This helps lower-achieving students absorb language. Furthermore, role play is a very effective way to improve speaking skills particularly if it is connected to the experience of the students.",The teachers question their students based on -------,what they learn in the class,What their parents expect,The questions that are similar to those of GSEC,The ability that will be used outside the classroom,C,4,1,0,,C,0,1,0,0,Question wording allows more than one reading of what's being asked.
A022,"All Eskimos live most of their lives close to sea or fresh water. They may follow game inland for several hundred miles, but they always return to the shores of rivers, lakes, or seas. Eskimo land has a bare look. Large rocks, pebbles, and sand cover much of the surface. Plants called lichen   grow on the rocks, and where there is enough soil, grass, flowers, and even small bushes manage to live. No trees can grow on Eskimo land, so geographers sometimes call it the Arctic plains. There are some animals in Eskimo land, such as rabbits, which eat the plants. Other animals, like the white fox and the gray wolf, eat the rabbits. The Eskimo is a meat-eater, too, and may even eat a wolf when food is scarce.
The Eskimo year has two main parts: a long, cold winter and a short, cool summer. Spring and fall are almost too short to be noticed. Summer is the best time, as food is usually plentiful. But it is also the time when Eskimos are very busy. Winter is never far away, and the men must bring home extra meat for the women to prepare and store, for seldom can enough animals be killed in winter to feed a family.
The Far North is sometimes called the land of the midnight sun. This is true in the middle of summer, for between April 21st and August 21st the sun never sets in Northern Greenland. But in midwinter the Far North is a land with no sunshine at all. Around Oct. 21st the Eskimos of Northern Greenland see the sun set directly south of them, and they don't see it again until February 22nd. All places on earth get about the same amount of daylight during a year. As a result, if summer is lighter, winter has to be darker.
Winter nights in the Far North are seldom _ . As in the rest of the world, the stars and moon provide a little light. The northern lights also help the Eskimo to see. And with the ground covered with snow, even a little light is reflected back to the Eskimo's eyes.",Which of the following statements is NOT true?,Eskimos do not usually eat wolves.,Eskimos like to chase one another.,Eskimos depend heavily on water.,Eskimos are meat-eaters.,B,3,2,0,,B,0,0,0,0,
