question_id,content_asset_path,content_asset_sha256,correct_option,n_attempts,n_students,n_correct,empirical_correctness
30,data/eedi_public_download/extracted/data/images/30.jpg,4afab5f0f747b96204e62e984c6b4e63ea345b1e4e6a42ebd39fced57a0df31e,1,2813,2813,1428,0.507643085673658
31,data/eedi_public_download/extracted/data/images/31.jpg,555bd3deeb6a2780570b3541cd1e7420cf5c63222f62d4c85a4ba808d0a5f8ea,3,2256,2256,1516,0.6719858156028369
32,data/eedi_public_download/extracted/data/images/32.jpg,56137e5126526883d8bae259d72690f7fc7911d9d5d57bc1917b2c5a3e781077,1,70,70,27,0.38571428571428573
33,data/eedi_public_download/extracted/data/images/33.jpg,05c71efda4ba336f0fd82746d587bbcc2b2fdbbedcb1af9e2c5a541366499bfb,1,4,4,1,0.25
34,data/eedi_public_download/extracted/data/images/34.jpg,c82f244848fdb3f20a034962c421d67ebcdac6fb5b232a5be131e3082b8df1d2,1,2332,2332,1145,0.49099485420240135
35,data/eedi_public_download/extracted/data/images/35.jpg,81a639da07db8f44cdf090990d19808ab7c60d5c0d3dbfd29a080891e9f95441,2,186,186,96,0.5161290322580645
36,data/eedi_public_download/extracted/data/images/36.jpg,83ffd2eb3f35b0116bf553e77dff0e89731a97bba1a22b87e078eeb016bc9ac3,3,827,827,337,0.407496977025393
37,data/eedi_public_download/extracted/data/images/37.jpg,6a781b337d9d42587f7c74241b92e273e1aaf8596e5cc30b76450014d5954edc,4,2274,2274,1377,0.6055408970976254
38,data/eedi_public_download/extracted/data/images/38.jpg,f15b415703fbf220cadc69f441aa8cba8e31166a57f37dd88553064c9f9bc94d,4,2482,2482,1231,0.4959709911361805
39,data/eedi_public_download/extracted/data/images/39.jpg,b87c071d30c58fdf3fde0e0740fcf21237e8529b121fbc8e09e23b7750a2a979,2,2607,2607,1189,0.45607978519370923
40,data/eedi_public_download/extracted/data/images/40.jpg,c96d81bb578024bff3db903c6285158440bff0eac7edc4eeffeb3075f0fe8da4,1,2599,2599,910,0.3501346671796845
41,data/eedi_public_download/extracted/data/images/41.jpg,c671418407db0d0dd4592283b298806ff1edd46541123c5bf69893c8f42b5783,3,628,628,210,0.3343949044585987
42,data/eedi_public_download/extracted/data/images/42.jpg,2e50568f52f887414713bbfc432e17362c8290ea0bea12c05f3f8d9d43bea2d3,2,166,166,60,0.3614457831325301
44,data/eedi_public_download/extracted/data/images/44.jpg,6ceceeb364a9ea9027b05e8862ec2eac8ae1b40c1affb7d4c93f4e2a983373f1,4,2169,2169,707,0.3259566620562471
45,data/eedi_public_download/extracted/data/images/45.jpg,1cdc266ee5e32ccff79debd08ded4ae139eba0c76b378ce0766a7ca144736dad,3,2644,2644,1128,0.4266263237518911
46,data/eedi_public_download/extracted/data/images/46.jpg,cccd8966558093f4b707db0afc9460b30fa34b3d6312253edbb144ca4b31ec4d,1,2554,2554,674,0.2638997650743931
47,data/eedi_public_download/extracted/data/images/47.jpg,f0ccb751ff772bd58a0e2818f32693f9e4d35918fc6eec4a674d8fec0b00224f,1,2884,2884,1716,0.59500693481276
48,data/eedi_public_download/extracted/data/images/48.jpg,9c8d711a3c740d9e87edaf1b921e24d936f5d38da55dd4018fd3d63100f74e1b,3,851,851,325,0.381903642773208
49,data/eedi_public_download/extracted/data/images/49.jpg,c783571b552057dead39dc3057735a2535ad9039fc06504c98a5337ee1bd3673,2,2607,2607,1181,0.45301112389719983
50,data/eedi_public_download/extracted/data/images/50.jpg,aa1da4f52ed46b1cff246437133b6eafe56f2b50abb384b38150889a2c881073,2,2907,2907,1711,0.5885792913656691
51,data/eedi_public_download/extracted/data/images/51.jpg,4f805ff1fb486027b22107527a6bc981bd1db3486ad5a523ab6f9906bdcaf2f5,2,1737,1737,919,0.5290731145653426
52,data/eedi_public_download/extracted/data/images/52.jpg,09b73b6a11b00060c29cb379f9efca5a5d00a1fb98253a1595b8a3d5fc7f1cdc,1,2393,2393,984,0.411199331383201
53,data/eedi_public_download/extracted/data/images/53.jpg,cb3cce245055308b9a3fb66350dea95da38d696981395a17cae6db0a608cb9b3,3,2332,2332,1105,0.47384219554030876
54,data/eedi_public_download/extracted/data/images/54.jpg,8602b4782804ad610ca0d50da14ab6b2cabee40ac455f2e4050272f391035b66,4,2165,2165,917,0.4235565819861432
55,data/eedi_public_download/extracted/data/images/55.jpg,ab51b7001e2cb905d93f735ff47f5ff179192bad6cd0faf4c9cc731dde859af5,4,1487,1487,646,0.4344317417619368
56,data/eedi_public_download/extracted/data/images/56.jpg,ebd8100cdde9204d8354e8830c69ffb3801f293b5bbf34daf5fa0e73363e0105,3,2614,2614,1350,0.5164498852333589
57,data/eedi_public_download/extracted/data/images/57.jpg,32703d534a6aefaef823f0b7cd0bad2ff0975532151405ac36dc862d6119b7ca,2,104,104,40,0.38461538461538464
58,data/eedi_public_download/extracted/data/images/58.jpg,38e94e63fba728f8e91d79f513de6545241cf2db80f75775ddbb392fb5589a1c,1,78,78,33,0.4230769230769231
59,data/eedi_public_download/extracted/data/images/59.jpg,93f16f9ce03fc638cd52b35227dd2dc3777ffc03a5566891ad9d16003a49f9f9,2,2555,2555,2076,0.8125244618395303
60,data/eedi_public_download/extracted/data/images/60.jpg,d0db9d1859a9091330890b353796e39a530a8838bcc56d39eba18f239a1e6e58,3,192,192,78,0.40625
61,data/eedi_public_download/extracted/data/images/61.jpg,492bab2edaec300d843245b58da2329c3216e802a00b7d707d1441764b100343,4,78,78,18,0.23076923076923078
62,data/eedi_public_download/extracted/data/images/62.jpg,a0f055b685f75fd008d812b0b79c41856659570edd71abed1329cac015539ee5,1,869,869,390,0.4487917146144994
63,data/eedi_public_download/extracted/data/images/63.jpg,bc2b575855283064491d070818caf450e9b5732e37ef813114f5e7fd4554f851,4,1178,1178,364,0.3089983022071307
64,data/eedi_public_download/extracted/data/images/64.jpg,afeff64cd3c92fed98476d02ddaaa91126a419414ff633688ee3365583d48d7a,3,2195,2195,1688,0.7690205011389522
65,data/eedi_public_download/extracted/data/images/65.jpg,9444c73bdee95dce3f6ec053b4c0db32204f2b85f6c7787cb5b4d10711fbaace,1,2855,2855,2373,0.8311733800350263
66,data/eedi_public_download/extracted/data/images/66.jpg,f7a487033e0be9b4209908a765794955d67cbc5f0d8575adb53af8ad49bd193b,1,1709,1709,885,0.5178466939730837
67,data/eedi_public_download/extracted/data/images/67.jpg,6e5754b0810173a6bda75d26f12c1e5026a085aa810a28348352e3fb7bb4a513,1,367,367,135,0.3678474114441417
68,data/eedi_public_download/extracted/data/images/68.jpg,0d7112172975943d5452d3ec0b3e1befe3ac12c267ae1310eb5ce283b13ae5ae,3,85,85,24,0.2823529411764706
69,data/eedi_public_download/extracted/data/images/69.jpg,caecb0250a35cc26a312820e53c4fb22bb232046fb83b454f4a31e0df1fdca9e,2,2627,2627,1380,0.525314046440807
70,data/eedi_public_download/extracted/data/images/70.jpg,dc0d839ab3ecb4a13b3b265b71a47399988d8d78b727e79e56b8f16138176a7c,2,873,873,261,0.29896907216494845
71,data/eedi_public_download/extracted/data/images/71.jpg,c6491727e7234a1e07489b9169d28d3573f4182b5c17e3bde6afe359cb78fff5,3,2549,2549,1014,0.39780306002353866
72,data/eedi_public_download/extracted/data/images/72.jpg,52beb0ae73ee666fe01efaa69d161e2be30e4d29c187e322fab148785881a574,1,2113,2113,1130,0.5347846663511595
73,data/eedi_public_download/extracted/data/images/73.jpg,f9a47f8462c7f377c682ce8234dbeacdb37572080f7dfcb66b284691917ca663,3,170,170,100,0.5882352941176471
74,data/eedi_public_download/extracted/data/images/74.jpg,755a28715338bde58b901705aec29a1420098317d30b0b6a34b6accdcd605f8d,1,833,833,405,0.48619447779111646
75,data/eedi_public_download/extracted/data/images/75.jpg,69829910e5ab9b2c9551f31da0387e5ce6e1964cfdb4d50594e5fed505243ff3,1,2616,2616,1547,0.5913608562691132
76,data/eedi_public_download/extracted/data/images/76.jpg,483b60f04317bdc3740c38f80a4b7744f5d35fc6cfa455e18dd2fdc3c462fc16,2,2322,2322,1170,0.5038759689922481
77,data/eedi_public_download/extracted/data/images/77.jpg,f4c7b251b757b9b99d8a40db1890b11c0de8dab329c38addd4cdc4908e29725e,3,579,579,196,0.3385146804835924
78,data/eedi_public_download/extracted/data/images/78.jpg,c8ba5205a01cbe11ac406b4365fa429deb68372cb11cf0bc7ac8eb5734ed49d5,3,1704,1704,1156,0.6784037558685446
79,data/eedi_public_download/extracted/data/images/79.jpg,e7a7401e3ef1674617e400812e4d1ac429fa13b8c86c3a618d8a3f9a5764bec4,1,1732,1732,584,0.3371824480369515
80,data/eedi_public_download/extracted/data/images/80.jpg,dc90af13a77e462525f60fc921787b9778599c82b51af69406a0d22b9d657c38,2,2638,2638,1857,0.703942380591357
81,data/eedi_public_download/extracted/data/images/81.jpg,d199142a581895576e9a35baafe31067414f6d2919a18513b1d97ccaa34e5233,1,115,115,58,0.5043478260869565
82,data/eedi_public_download/extracted/data/images/82.jpg,e6af765dc50eb68c3636d6c2f4fc1d97e6d3128428bfbbe3d4ccd73fab221495,4,2471,2471,1554,0.6288951841359773
83,data/eedi_public_download/extracted/data/images/83.jpg,7c553964dda4373726f88d3b71201d4cdd86dd207da7408cae82189f57ac93b6,2,2905,2905,1552,0.5342512908777969
85,data/eedi_public_download/extracted/data/images/85.jpg,bf7c44920cf747d6ac7e8bee664402e3cd6beeeb2052b4208b9e8a09fafdb478,4,1615,1615,701,0.4340557275541796
86,data/eedi_public_download/extracted/data/images/86.jpg,dfee001044df640a572b40d44b77e7956092c24c09af1886cc8668b0a9517815,2,2185,2185,1654,0.7569794050343249
87,data/eedi_public_download/extracted/data/images/87.jpg,a73f494c1d441c4fc675079522f557c2d2d4ef4f793bd099e4534796f0b4afd0,4,1548,1548,443,0.28617571059431524
88,data/eedi_public_download/extracted/data/images/88.jpg,b1403155b2d398d09b826b9e25a1a31cc8554e60d154cb76cbc634fa7b2a3d2b,2,2286,2286,1199,0.5244969378827646
89,data/eedi_public_download/extracted/data/images/89.jpg,0c20a7dfd56ecbd9ad324a2911899297657c7df1cf725d166c8ef748d303e8cc,4,2948,2948,2078,0.7048846675712347
90,data/eedi_public_download/extracted/data/images/90.jpg,99d49db12d3e03263fff922f2ce426a1896b8caa0bd9405d279dc6e69e6d91a8,1,2477,2477,1431,0.5777149777957207
91,data/eedi_public_download/extracted/data/images/91.jpg,a4c75e960cff447237f1ae46c23b99a123b236b47d5bcc6b1a8937debb521518,4,2857,2857,1335,0.4672733636681834
92,data/eedi_public_download/extracted/data/images/92.jpg,99a83faac366c18793fc3661079655072acdb00836564e606f3463cbe122a451,1,2322,2322,1184,0.5099052540913006
93,data/eedi_public_download/extracted/data/images/93.jpg,c5e24b58fce601dcd5a1415082b956a7e045b2273ba3b81d35bba7c673aeb43b,2,2290,2290,522,0.2279475982532751
94,data/eedi_public_download/extracted/data/images/94.jpg,bddcbe8ff2db532809817276f18f91df6ac4e277a40732fda3a07d079e287771,1,1318,1318,336,0.2549317147192716
95,data/eedi_public_download/extracted/data/images/95.jpg,2c19963e9b51d1bdc25d08b32a4df590aef56e4743308e026b44a10c1d6f4468,3,1311,1311,504,0.38443935926773454
96,data/eedi_public_download/extracted/data/images/96.jpg,d17e20a1047275a662769beb2cce33c397a16c9ba28d731a8256d107d5227134,1,81,81,32,0.3950617283950617
97,data/eedi_public_download/extracted/data/images/97.jpg,c0f7387b07ef9230db4da656f487120855a35f213af6a91eacaf360d4b452849,1,1271,1271,741,0.5830055074744296
98,data/eedi_public_download/extracted/data/images/98.jpg,cf9594bd64cc91059dae0a4aca255362779a74f225e93b48a7b58fcffa29cbf1,2,174,174,81,0.46551724137931033
99,data/eedi_public_download/extracted/data/images/99.jpg,16acd6c16bc8436000d4228a1164f3595a6b9c31220da9ad4bb84a4c7445fdba,2,136,136,63,0.4632352941176471
100,data/eedi_public_download/extracted/data/images/100.jpg,fb21c2395cfea5a9502aec811f718289513d12f57b29260d47513033c19eb724,1,99,99,66,0.6666666666666666
101,data/eedi_public_download/extracted/data/images/101.jpg,174d95957dd3b89f730524ff4147350dc4db7a7fb49af9e4f79511c0dd89c130,1,2587,2587,1132,0.4375724777734828
102,data/eedi_public_download/extracted/data/images/102.jpg,4a3cf7b6856765dc2fb553c7eeff61dd7e40d6fd89dc885dffae32bf30b0157d,2,179,179,80,0.44692737430167595
103,data/eedi_public_download/extracted/data/images/103.jpg,b790c97c1243bacc1ae75fd22db1d5371a8e2493109b7263066e1ceb6bb2f4c3,4,2389,2389,1381,0.5780661364587694
104,data/eedi_public_download/extracted/data/images/104.jpg,dd64738f93bcdae0d370e5d4017fd010eec2c2d8f4f40a6f34a7d6b44ad7a24c,3,89,89,20,0.2247191011235955
105,data/eedi_public_download/extracted/data/images/105.jpg,3fcea268d941a3198c4dee7c241f6536a4c06dfacdca4beacdb9db64366b8251,1,1703,1703,946,0.5554903112155021
106,data/eedi_public_download/extracted/data/images/106.jpg,729c59f88447ed94526e0a40243ae6e177a801ae54869b8d22c6b47baac7b42a,3,2112,2112,1148,0.5435606060606061
107,data/eedi_public_download/extracted/data/images/107.jpg,edf4a74883d0faaefc66278272c44e53d8de64fe6baea455a9a2de1951ad8d76,2,78,78,29,0.3717948717948718
108,data/eedi_public_download/extracted/data/images/108.jpg,bc62e8fed90c00d6b0b0cb1a0886a6d4a3468913e82f73a959440e76dbcfa1c3,3,6,6,2,0.3333333333333333
109,data/eedi_public_download/extracted/data/images/109.jpg,e896f1c481759ab519313d8bed616d18973920f358cca008a4c48724b8fea2a6,1,111,111,50,0.45045045045045046
110,data/eedi_public_download/extracted/data/images/110.jpg,9b8051b68f8d7cc59ca3fee35eff75b8d58b1eae8f730cc1131ffca200ced106,1,1155,1155,315,0.2727272727272727
111,data/eedi_public_download/extracted/data/images/111.jpg,683c3b359d7b14aacb930f5ca2ea5569392532efe8e231632a2f446f7b9a932b,2,2610,2610,1775,0.6800766283524904
112,data/eedi_public_download/extracted/data/images/112.jpg,00177a55073e08ecc05240ce62f2902be2df9ca09427f49762ebb85efc62765e,3,104,104,36,0.34615384615384615
113,data/eedi_public_download/extracted/data/images/113.jpg,0f1f298777c3a40f901198e44f5ecf98cde3adfb1ec9c59522c0d54b006a4b2d,4,11,11,5,0.45454545454545453
114,data/eedi_public_download/extracted/data/images/114.jpg,cb2a7f2391675b1c7ab18a13a05aae75b02aaab1f03a6fe33dca7ec4004a9477,3,104,104,50,0.4807692307692308
115,data/eedi_public_download/extracted/data/images/115.jpg,c95c30b1e1d93dbe430bdf7b6dd309cb62596c7e73884f9f98bd6cb4fb108a84,2,104,104,44,0.4230769230769231
116,data/eedi_public_download/extracted/data/images/116.jpg,8a1e40878705844a41aba0524513e09a1902f67b7a5a7927deaf12f299782f41,2,2122,2122,1130,0.532516493873704
117,data/eedi_public_download/extracted/data/images/117.jpg,1749b9e268663763823e1e5db7c6f0afe0a3dcdba1cba759971b0f20f7059189,4,10,10,3,0.3
118,data/eedi_public_download/extracted/data/images/118.jpg,80fe1d24656b33e9589096e9222e717acb7769dfb62d611ff3243e136a70840c,4,2488,2488,1290,0.5184887459807074
119,data/eedi_public_download/extracted/data/images/119.jpg,b99bf344563b4591dc10d71ddb0cf69ee93dec41583588b39e2775fe90270a6e,2,2465,2465,1117,0.45314401622718053
120,data/eedi_public_download/extracted/data/images/120.jpg,3f8c02ec280c65a64b6d35b167b80deb2850e2ce20b76cfa3b82a1b242df12a5,1,2143,2143,784,0.36584227718152124
121,data/eedi_public_download/extracted/data/images/121.jpg,ca55c296af64b4bcadd89dbed12824e74c3d269b7f7eb15f603ab3801b91e29d,4,167,167,60,0.3592814371257485
122,data/eedi_public_download/extracted/data/images/122.jpg,a8cd653aa6a6dd31c8bfa20af2317c23fe9aad2511e308a7ce815f03397b6fec,2,2146,2146,1407,0.6556383970177073
123,data/eedi_public_download/extracted/data/images/123.jpg,6fedcf5f625c1836676ccf9374a76f76ea74e2998f0fe5a04c28668eb607495c,2,2144,2144,951,0.4435634328358209
124,data/eedi_public_download/extracted/data/images/124.jpg,fb80d56a6258c88a42a92db8c4e3bb20be4df07ad861e425772b1358715590b2,2,1260,1260,480,0.38095238095238093
125,data/eedi_public_download/extracted/data/images/125.jpg,012cac287225f198d71cbc07b9e9f02c1866797efeb2bb2e556ccb39d7956c0d,1,1274,1274,694,0.5447409733124019
126,data/eedi_public_download/extracted/data/images/126.jpg,bd7126cb2459858d5e795fbb2731fd625a239e05fd58357e7b9194c66aa1e2c5,1,83,83,21,0.25301204819277107
127,data/eedi_public_download/extracted/data/images/127.jpg,dadaad3dd84e662b2a09fe35fb03824c1a228e0eabeaf39561b57f69b277b3b6,2,109,109,47,0.43119266055045874
128,data/eedi_public_download/extracted/data/images/128.jpg,a6eb4e06a81bf5d19d7e71c011d091ca3e61dac47c6d0f4a948083b73f4a9172,1,78,78,22,0.28205128205128205
129,data/eedi_public_download/extracted/data/images/129.jpg,aacca28c2ca85c0d54f1deb0171376a0e0011e91b32958c5ced733e40a036510,3,2258,2258,1083,0.4796279893711249
130,data/eedi_public_download/extracted/data/images/130.jpg,94932bd50e02e8393ef3d38260265140146249b1fdae5cc6525d0ea30c05f3fa,1,1583,1583,551,0.34807327858496523
131,data/eedi_public_download/extracted/data/images/131.jpg,64b1aaa2ab97f3d76b9dff89336e63670ff5e1f29d468ea05036153d27ccfaac,1,113,113,52,0.46017699115044247
132,data/eedi_public_download/extracted/data/images/132.jpg,b10f13b5a27ad048a694737be65a016d885507892932f2e01590c7727405b7b8,3,851,851,330,0.38777908343125733
133,data/eedi_public_download/extracted/data/images/133.jpg,d3f6a029e2ee7bfb47a59cb4fe8f29f8bed98e7497185383ff8eb4d20e423186,3,2296,2296,1513,0.6589721254355401
134,data/eedi_public_download/extracted/data/images/134.jpg,8447fd7317230db6dea2b08587c403c51d380d2d8538ad2bb7c8e99b0295797a,1,2670,2670,1720,0.6441947565543071
135,data/eedi_public_download/extracted/data/images/135.jpg,11749ac50e3cc17c6c98b1cb0f564cd09ed5c73385740b5645bf00871cd5b090,1,1250,1250,559,0.4472
136,data/eedi_public_download/extracted/data/images/136.jpg,1e72dfe20d76b98cb850b91bbe71d42a0a032e18bf3e3cfa8eb5a9a2bb15d682,4,71,71,26,0.36619718309859156
137,data/eedi_public_download/extracted/data/images/137.jpg,9a0711f98673600639a2fd43b2ffd2bb9e80b58c5165b3ee8ff004ce2d677fe0,1,1288,1288,805,0.625
138,data/eedi_public_download/extracted/data/images/138.jpg,7df86954caf172b02a0a6021a448b1796f512dc12909bb2b2f4f348269f19e1d,3,2497,2497,1771,0.7092511013215859
139,data/eedi_public_download/extracted/data/images/139.jpg,817a8e50fc7b1932cd71eb66fcffb8d6a2dee1759b20e1349aada41b7791ecf5,3,6,6,2,0.3333333333333333
140,data/eedi_public_download/extracted/data/images/140.jpg,54cfc6129ec256d3dc73fa903d042c28008e19e0e3ea9c2c04d21deeaa411cb6,2,167,167,68,0.40718562874251496
141,data/eedi_public_download/extracted/data/images/141.jpg,fe24cc17697a0879f64748d0b27d1245c3ef77136169711ccbe01d68712aa1c5,2,86,86,39,0.45348837209302323
142,data/eedi_public_download/extracted/data/images/142.jpg,073a6d054e3f98f3c111717ddf3d99fdc1b8c038e753012f2e7f6875de3f2f1b,2,2457,2457,668,0.2718762718762719
143,data/eedi_public_download/extracted/data/images/143.jpg,836d8cf33ae577b2675713d880d2048e5566e2849db730031da4be6748bb075b,2,2882,2882,2050,0.7113115891741846
144,data/eedi_public_download/extracted/data/images/144.jpg,2386edf10bf106c9c22ea910ae9fea6262fe28594b934784f26e2d65b8ccc315,3,139,139,67,0.48201438848920863
145,data/eedi_public_download/extracted/data/images/145.jpg,78aade273695ddb83239bd2bcf70efab5d5b0cfa06b00c20c82d915bc6031302,1,2241,2241,1071,0.4779116465863454
146,data/eedi_public_download/extracted/data/images/146.jpg,dd246e16e9fed8fc122417e2764737f1e4745bac2ea6a77171a39373bffb1331,4,1426,1426,323,0.226507713884993
147,data/eedi_public_download/extracted/data/images/147.jpg,0c3013b4d490ac19dcb0951aae848f7624a07f1cc8ab406d39058bc0e22d0511,2,2255,2255,1340,0.5942350332594235
148,data/eedi_public_download/extracted/data/images/148.jpg,81ca91b2920632a7e668995d159b82392893436dca2fe28ccb2243ba67139ec9,2,2459,2459,933,0.3794225294835299
149,data/eedi_public_download/extracted/data/images/149.jpg,df0e3eb203415581ab8fc48757656bf0a35237f6aa81ed3955fe512e591e5c83,3,104,104,34,0.3269230769230769
150,data/eedi_public_download/extracted/data/images/150.jpg,92677e6904c5d19bba6841d6a8a6fd49a585425ee080cb3554eed987301e4363,3,2465,2465,1390,0.563894523326572
151,data/eedi_public_download/extracted/data/images/151.jpg,f70f8cd73ccdb7486b198b66e046f9c2079377ebb882cc5cf2ac3aa85f350463,2,487,487,240,0.4928131416837782
152,data/eedi_public_download/extracted/data/images/152.jpg,6e1cbd0f2f35d327caa22626f7ce8c164117ba31593bdc6a6d1a8b84bfd60430,3,1491,1491,520,0.3487592219986586
153,data/eedi_public_download/extracted/data/images/153.jpg,9609dd63978c3a465206da0bdf45506317e9bb347564fc306d552e465fcc879d,1,4,4,3,0.75
154,data/eedi_public_download/extracted/data/images/154.jpg,6dabe7181be8298ab33a607390107e7156989d62243ec799fec5c69eb32444ea,4,2311,2311,1818,0.7866724361748161
155,data/eedi_public_download/extracted/data/images/155.jpg,2dbead21bfb5752f077e2ef3e7c8cc5c16392993d0d66fb78156afe4eb269bac,4,1675,1675,276,0.1647761194029851
156,data/eedi_public_download/extracted/data/images/156.jpg,c157d9c5804faa7adeeac1bcce09dff51a8d2678097ae54e4907778d5b544a93,3,591,591,286,0.48392554991539766
157,data/eedi_public_download/extracted/data/images/157.jpg,73706872dc2c59be2dbf9b652d85b8e0f3b4a0376b985eba533e2622c47b7598,3,1734,1734,1211,0.6983852364475202
158,data/eedi_public_download/extracted/data/images/158.jpg,7cbcefce51f6b3e18b3246c9430704b007d987db686660be9c52e624810ec62b,3,2208,2208,885,0.4008152173913043
159,data/eedi_public_download/extracted/data/images/159.jpg,f21428e5394d9127227519a5c0a8498da54d81e68d2c5f4316dced8a57315f56,2,2136,2136,787,0.3684456928838951
160,data/eedi_public_download/extracted/data/images/160.jpg,7dde138bf276ed3ed3a03816c7578bac7c4a95d30cd751850369261be05fdbbe,3,2237,2237,1350,0.6034868126955745
161,data/eedi_public_download/extracted/data/images/161.jpg,3bec39aadee47c58e2369c9b6b99e7fed0c02413e439e7216116db8c75d24ca6,1,2547,2547,844,0.331370239497448
